binder_name_raw,regex_mapping,manual_mapping,mapped_superclass
PROTEIN (human T-Cell receptor A),unknown,TCRa,TCR
PROTEIN (human T-Cell receptor B),unknown,TCRb,TCR
HCV1406 TCR alpha chain,TCRa,,TCR
T36-5 TCR beta chain,TCRb,,TCR
T36-5 TCR alpha chain,TCRa,,TCR
HCV1406 TCR beta chain,TCRb,,TCR
"RA14 TCR beta chain (TRBV6-5, TRBD1, TRBJ1-2)",TCRb,,TCR
TCR alpha,TCRa,,TCR
T-cell receptor beta chain,TCRb,,TCR
TCR beta,TCRb,,TCR
T-cell receptor alpha chain,TCRa,,TCR
V-beta chain of T cell receptor,TCRb,,TCR
V-delta chain of T cell receptor,TCRd,,TCR
TCR NYN-I beta chain,TCRb,,TCR
"T cell receptor alpha variable 12-2,T cell receptor alpha chain MC.7.G5",TCRa,,TCR
TCR NYN-I alpha chain,TCRa,,TCR
"T cell receptor beta variable 6-5,T cell receptor beta chain MC.7.G5",TCRb,,TCR
T CELL RECEPTOR BETA,TCRb,,TCR
T CELL RECEPTOR ALPHA,TCRa,,TCR
"4C6 Human T-cell Receptor, alpha Chain",TCRa,,TCR
H27-14 TCR beta chain,TCRb,,TCR
Light chain of Fab fragment 11D06,AbL,,Ab
Heavy chain of Fab fragment 11D06,AbH,,Ab
"4C6 Human T-cell Receptor, beta Chain",TCRb,,TCR
H27-14 TCR alpha chain,TCRa,,TCR
"T cell receptor alpha variable 26-1,T cell receptor alpha joining 37,T cell receptor alpha chain constant",TCRa,,TCR
TRBV19 TCR beta,TCRb,,TCR
TRAV12-1 TCR-alpha,TCRa,,TCR
"T cell receptor beta variable 14,T cell receptor beta joining 2-3,T cell receptor beta constant 2",TCRb,,TCR
Mel5 TCR chain beta,TCRb,,TCR
The beta chain of TU55 TCR,TCRb,,TCR
Mel5 TCR chain alpha,TCRa,,TCR
Light chain,AbL,,Ab
The Delta chain of TU55 TCR,TCRd,,TCR
EM2 TCR beta chain,TCRb,,TCR
Heavy chain,AbH,,Ab
EM2 TCR alpha chain,TCRa,,TCR
HUMAN T-CELL RECEPTOR,unknown,TCRb,TCR
3180 TCR beta chain,TCRb,,TCR
3180 TCR alpha chain,TCRa,,TCR
A6 TCR alpha chain,TCRa,,TCR
A6 TCR beta chain,TCRb,,TCR
YLQ-SG3 TCR beta chain (TRBV7-9),TCRb,,TCR
YLQ-SG3 TCR alpha chain (TRAV12-2),TCRa,,TCR
SILv44 T cell receptor beta chain,TCRb,,TCR
SILv44 T cell receptor alpha chain,TCRa,,TCR
clone12 TCR beta chain,TCRb,,TCR
