[START] STEP4
[INPUT] PDBs=1165
[ALIGNED] 1a1m: 1a1m_aligned.pdb
[ALIGNED] 1a1n: 1a1n_aligned.pdb
[ALIGNED] 1a1o: 1a1o_aligned.pdb
[ALIGNED] 1a6z: 1a6z_aligned.pdb
[ALIGNED] 1a9b: 1a9b_aligned.pdb
[ALIGNED] 1a9e: 1a9e_aligned.pdb
[ALIGNED] 1agb: 1agb_aligned.pdb
[ALIGNED] 1agc: 1agc_aligned.pdb
[ALIGNED] 1agd: 1agd_aligned.pdb
[ALIGNED] 1age: 1age_aligned.pdb
[ALIGNED] 1agf: 1agf_aligned.pdb
[ALIGNED] 1akj: 1akj_aligned.pdb
[ALIGNED] 1ao7: 1ao7_aligned.pdb
[ALIGNED] 1b0g: 1b0g_aligned.pdb
[ALIGNED] 1b0r: 1b0r_aligned.pdb
[ALIGNED] 1b3j: 1b3j_aligned.pdb
[ALIGNED] 1bd2: 1bd2_aligned.pdb
[ALIGNED] 1cg9: 1cg9_aligned.pdb
[ALIGNED] 1de4: 1de4_aligned.pdb
[ALIGNED] 1duy: 1duy_aligned.pdb
[ALIGNED] 1duz: 1duz_aligned.pdb
[ALIGNED] 1e27: 1e27_aligned.pdb
[ALIGNED] 1e28: 1e28_aligned.pdb
[ALIGNED] 1eey: 1eey_aligned.pdb
[ALIGNED] 1eez: 1eez_aligned.pdb
[ALIGNED] 1efx: 1efx_aligned.pdb
[ALIGNED] 1exu: 1exu_aligned.pdb
[ALIGNED] 1gzp: 1gzp_aligned.pdb
[ALIGNED] 1gzq: 1gzq_aligned.pdb
[ALIGNED] 1hhg: 1hhg_aligned.pdb
[ALIGNED] 1hhh: 1hhh_aligned.pdb
[ALIGNED] 1hhi: 1hhi_aligned.pdb
[ALIGNED] 1hhj: 1hhj_aligned.pdb
[ALIGNED] 1hhk: 1hhk_aligned.pdb
[ALIGNED] 1hsa: 1hsa_aligned.pdb
[ALIGNED] 1hsb: 1hsb_aligned.pdb
[ALIGNED] 1hyr: 1hyr_aligned.pdb
[ALIGNED] 1i1f: 1i1f_aligned.pdb
[ALIGNED] 1i1y: 1i1y_aligned.pdb
[ALIGNED] 1i4f: 1i4f_aligned.pdb
[ALIGNED] 1i7r: 1i7r_aligned.pdb
[ALIGNED] 1i7t: 1i7t_aligned.pdb
[ALIGNED] 1i7u: 1i7u_aligned.pdb
[ALIGNED] 1im3: 1im3_aligned.pdb
[ALIGNED] 1im9: 1im9_aligned.pdb
[ALIGNED] 1je6: 1je6_aligned.pdb
[ALIGNED] 1jf1: 1jf1_aligned.pdb
[ALIGNED] 1jgd: 1jgd_aligned.pdb
[ALIGNED] 1jge: 1jge_aligned.pdb
[ALIGNED] 1jht: 1jht_aligned.pdb
[ALIGNED] 1k5n: 1k5n_aligned.pdb
[ALIGNED] 1kcg: 1kcg_aligned.pdb
[ALIGNED] 1kpr: 1kpr_aligned.pdb
[ALIGNED] 1ktl: 1ktl_aligned.pdb
[ALIGNED] 1l8j: 1l8j_aligned.pdb
[ALIGNED] 1lp9: 1lp9_aligned.pdb
[ALIGNED] 1lqv: 1lqv_aligned.pdb
[ALIGNED] 1m05: 1m05_aligned.pdb
[ALIGNED] 1m6o: 1m6o_aligned.pdb
[ALIGNED] 1mhe: 1mhe_aligned.pdb
[ALIGNED] 1mi5: 1mi5_aligned.pdb
[ALIGNED] 1n2r: 1n2r_aligned.pdb
[ALIGNED] 1of2: 1of2_aligned.pdb
[ALIGNED] 1oga: 1oga_aligned.pdb
[ALIGNED] 1ogt: 1ogt_aligned.pdb
[ALIGNED] 1onq: 1onq_aligned.pdb
[ALIGNED] 1p7q: 1p7q_aligned.pdb
[ALIGNED] 1q94: 1q94_aligned.pdb
[ALIGNED] 1qew: 1qew_aligned.pdb
[ALIGNED] 1qqd: 1qqd_aligned.pdb
[ALIGNED] 1qr1: 1qr1_aligned.pdb
[ALIGNED] 1qrn: 1qrn_aligned.pdb
[ALIGNED] 1qse: 1qse_aligned.pdb
[ALIGNED] 1qsf: 1qsf_aligned.pdb
[ALIGNED] 1qvo: 1qvo_aligned.pdb
[ALIGNED] 1s8d: 1s8d_aligned.pdb
[ALIGNED] 1s9w: 1s9w_aligned.pdb
[ALIGNED] 1s9x: 1s9x_aligned.pdb
[ALIGNED] 1s9y: 1s9y_aligned.pdb
[ALIGNED] 1sys: 1sys_aligned.pdb
[ALIGNED] 1syv: 1syv_aligned.pdb
[ALIGNED] 1t1w: 1t1w_aligned.pdb
[ALIGNED] 1t1x: 1t1x_aligned.pdb
[ALIGNED] 1t1y: 1t1y_aligned.pdb
[ALIGNED] 1t1z: 1t1z_aligned.pdb
[ALIGNED] 1t20: 1t20_aligned.pdb
[ALIGNED] 1t21: 1t21_aligned.pdb
[ALIGNED] 1t22: 1t22_aligned.pdb
[ALIGNED] 1t7v: 1t7v_aligned.pdb
[ALIGNED] 1t7w: 1t7w_aligned.pdb
[ALIGNED] 1t7x: 1t7x_aligned.pdb
[ALIGNED] 1t7y: 1t7y_aligned.pdb
[ALIGNED] 1t7z: 1t7z_aligned.pdb
[ALIGNED] 1t80: 1t80_aligned.pdb
[ALIGNED] 1tmc: 1tmc_aligned.pdb
[ALIGNED] 1tvb: 1tvb_aligned.pdb
[ALIGNED] 1tvh: 1tvh_aligned.pdb
[ALIGNED] 1uqs: 1uqs_aligned.pdb
[ALIGNED] 1uxs: 1uxs_aligned.pdb
[ALIGNED] 1uxw: 1uxw_aligned.pdb
[ALIGNED] 1w0v: 1w0v_aligned.pdb
[ALIGNED] 1w0w: 1w0w_aligned.pdb
[ALIGNED] 1w72: 1w72_aligned.pdb
[ALIGNED] 1x7q: 1x7q_aligned.pdb
[ALIGNED] 1xh3: 1xh3_aligned.pdb
[ALIGNED] 1xr8: 1xr8_aligned.pdb
[ALIGNED] 1xr9: 1xr9_aligned.pdb
[ALIGNED] 1xz0: 1xz0_aligned.pdb
[ALIGNED] 1ydp: 1ydp_aligned.pdb
[ALIGNED] 1zag: 1zag_aligned.pdb
[ALIGNED] 1zhk: 1zhk_aligned.pdb
[ALIGNED] 1zhl: 1zhl_aligned.pdb
[ALIGNED] 1zsd: 1zsd_aligned.pdb
[ALIGNED] 1zt4: 1zt4_aligned.pdb
[ALIGNED] 2a83: 2a83_aligned.pdb
[ALIGNED] 2ak4: 2ak4_aligned.pdb
[ALIGNED] 2av1: 2av1_aligned.pdb
[ALIGNED] 2av7: 2av7_aligned.pdb
[ALIGNED] 2axf: 2axf_aligned.pdb
[ALIGNED] 2axg: 2axg_aligned.pdb
[ALIGNED] 2bck: 2bck_aligned.pdb
[ALIGNED] 2bnq: 2bnq_aligned.pdb
[ALIGNED] 2bnr: 2bnr_aligned.pdb
[ALIGNED] 2bsr: 2bsr_aligned.pdb
[ALIGNED] 2bss: 2bss_aligned.pdb
[ALIGNED] 2bst: 2bst_aligned.pdb
[ALIGNED] 2bvo: 2bvo_aligned.pdb
[ALIGNED] 2bvp: 2bvp_aligned.pdb
[ALIGNED] 2bvq: 2bvq_aligned.pdb
[ALIGNED] 2c7u: 2c7u_aligned.pdb
[ALIGNED] 2cik: 2cik_aligned.pdb
[ALIGNED] 2clr: 2clr_aligned.pdb
[ALIGNED] 2d31: 2d31_aligned.pdb
[ALIGNED] 2dyp: 2dyp_aligned.pdb
[ALIGNED] 2esv: 2esv_aligned.pdb
[ALIGNED] 2f53: 2f53_aligned.pdb
[ALIGNED] 2f54: 2f54_aligned.pdb
[ALIGNED] 2fyy: 2fyy_aligned.pdb
[ALIGNED] 2fz3: 2fz3_aligned.pdb
[ALIGNED] 2git: 2git_aligned.pdb
[ALIGNED] 2gj6: 2gj6_aligned.pdb
[ALIGNED] 2gt9: 2gt9_aligned.pdb
[ALIGNED] 2gtw: 2gtw_aligned.pdb
[ALIGNED] 2gtz: 2gtz_aligned.pdb
[ALIGNED] 2guo: 2guo_aligned.pdb
[ALIGNED] 2h26: 2h26_aligned.pdb
[ALIGNED] 2h6p: 2h6p_aligned.pdb
[ALIGNED] 2hjk: 2hjk_aligned.pdb
[ALIGNED] 2hjl: 2hjl_aligned.pdb
[ALIGNED] 2hla: 2hla_aligned.pdb
[ALIGNED] 2hn7: 2hn7_aligned.pdb
[ALIGNED] 2j8u: 2j8u_aligned.pdb
[ALIGNED] 2jcc: 2jcc_aligned.pdb
[ALIGNED] 2nw3: 2nw3_aligned.pdb
[ALIGNED] 2nx5: 2nx5_aligned.pdb
[ALIGNED] 2p5e: 2p5e_aligned.pdb
[ALIGNED] 2p5w: 2p5w_aligned.pdb
[ALIGNED] 2po6: 2po6_aligned.pdb
[ALIGNED] 2pye: 2pye_aligned.pdb
[ALIGNED] 2rfx: 2rfx_aligned.pdb
[ALIGNED] 2uwe: 2uwe_aligned.pdb
[ALIGNED] 2v2w: 2v2w_aligned.pdb
[ALIGNED] 2v2x: 2v2x_aligned.pdb
[ALIGNED] 2vlj: 2vlj_aligned.pdb
[ALIGNED] 2vlk: 2vlk_aligned.pdb
[ALIGNED] 2vll: 2vll_aligned.pdb
[ALIGNED] 2vlr: 2vlr_aligned.pdb
[ALIGNED] 2wy3: 2wy3_aligned.pdb
[ALIGNED] 2x4n: 2x4n_aligned.pdb
[ALIGNED] 2x4o: 2x4o_aligned.pdb
[ALIGNED] 2x4p: 2x4p_aligned.pdb
[ALIGNED] 2x4q: 2x4q_aligned.pdb
[ALIGNED] 2x4r: 2x4r_aligned.pdb
[ALIGNED] 2x4s: 2x4s_aligned.pdb
[ALIGNED] 2x4t: 2x4t_aligned.pdb
[ALIGNED] 2x4u: 2x4u_aligned.pdb
[ALIGNED] 2x70: 2x70_aligned.pdb
[ALIGNED] 2xpg: 2xpg_aligned.pdb
[ALIGNED] 2ypk: 2ypk_aligned.pdb
[ALIGNED] 2ypl: 2ypl_aligned.pdb
[ALIGNED] 3am8: 3am8_aligned.pdb
[ALIGNED] 3b3i: 3b3i_aligned.pdb
[ALIGNED] 3b6s: 3b6s_aligned.pdb
[ALIGNED] 3bgm: 3bgm_aligned.pdb
[ALIGNED] 3bh8: 3bh8_aligned.pdb
[ALIGNED] 3bh9: 3bh9_aligned.pdb
[ALIGNED] 3bhb: 3bhb_aligned.pdb
[ALIGNED] 3bo8: 3bo8_aligned.pdb
[ALIGNED] 3bp4: 3bp4_aligned.pdb
[ALIGNED] 3bp7: 3bp7_aligned.pdb
[ALIGNED] 3bvn: 3bvn_aligned.pdb
[ALIGNED] 3bw9: 3bw9_aligned.pdb
[ALIGNED] 3bwa: 3bwa_aligned.pdb
[ALIGNED] 3bxn: 3bxn_aligned.pdb
[ALIGNED] 3bze: 3bze_aligned.pdb
[ALIGNED] 3bzf: 3bzf_aligned.pdb
[ALIGNED] 3c9n: 3c9n_aligned.pdb
[ALIGNED] 3cdg: 3cdg_aligned.pdb
[ALIGNED] 3cii: 3cii_aligned.pdb
[ALIGNED] 3czf: 3czf_aligned.pdb
[ALIGNED] 3d18: 3d18_aligned.pdb
[ALIGNED] 3d25: 3d25_aligned.pdb
[ALIGNED] 3d2u: 3d2u_aligned.pdb
[ALIGNED] 3d39: 3d39_aligned.pdb
[ALIGNED] 3d3v: 3d3v_aligned.pdb
[ALIGNED] 3dtx: 3dtx_aligned.pdb
[ALIGNED] 3dx6: 3dx6_aligned.pdb
[ALIGNED] 3dx7: 3dx7_aligned.pdb
[ALIGNED] 3dx8: 3dx8_aligned.pdb
[ALIGNED] 3dxa: 3dxa_aligned.pdb
[ALIGNED] 3es6: 3es6_aligned.pdb
[ALIGNED] 3ffc: 3ffc_aligned.pdb
[ALIGNED] 3fqn: 3fqn_aligned.pdb
[ALIGNED] 3fqr: 3fqr_aligned.pdb
[ALIGNED] 3fqt: 3fqt_aligned.pdb
[ALIGNED] 3fqu: 3fqu_aligned.pdb
[ALIGNED] 3fqw: 3fqw_aligned.pdb
[ALIGNED] 3fqx: 3fqx_aligned.pdb
[ALIGNED] 3ft2: 3ft2_aligned.pdb
[ALIGNED] 3ft3: 3ft3_aligned.pdb
[ALIGNED] 3ft4: 3ft4_aligned.pdb
[ALIGNED] 3giv: 3giv_aligned.pdb
[ALIGNED] 3gjf: 3gjf_aligned.pdb
[ALIGNED] 3gsn: 3gsn_aligned.pdb
[ALIGNED] 3gso: 3gso_aligned.pdb
[ALIGNED] 3gsq: 3gsq_aligned.pdb
[ALIGNED] 3gsr: 3gsr_aligned.pdb
[ALIGNED] 3gsu: 3gsu_aligned.pdb
