pdb,uniprot_id,database,reason
AF-D3U494-F1-model_v6,D3U494,afdb,excluded_species
AF-A0A0N7A4Q6-F1-model_v6,A0A0N7A4Q6,afdb,excluded_species
AF-G1EPK5-F1-model_v6,G1EPK5,afdb,excluded_species
AF-D3XDG1-F1-model_v6,D3XDG1,afdb,excluded_species
AF-C7FDS0-F1-model_v6,C7FDS0,afdb,excluded_species
AF-E9LY28-F1-model_v6,E9LY28,afdb,excluded_species
AF-D0VE37-F1-model_v6,D0VE37,afdb,excluded_species
AF-D5FHX9-F1-model_v6,D5FHX9,afdb,excluded_species
AF-F2VYK1-F1-model_v6,F2VYK1,afdb,excluded_species
AF-C8CJE0-F1-model_v6,C8CJE0,afdb,excluded_species
AF-I6NS75-F1-model_v6,I6NS75,afdb,excluded_species
AF-D9U3H4-F1-model_v6,D9U3H4,afdb,excluded_species
AF-I6QQT3-F1-model_v6,I6QQT3,afdb,excluded_species
AF-F4YU60-F1-model_v6,F4YU60,afdb,excluded_species
AF-M1FUU1-F1-model_v6,M1FUU1,afdb,excluded_species
AF-I6MHH7-F1-model_v6,I6MHH7,afdb,excluded_species
AF-A0A141AZ86-F1-model_v6,A0A141AZ86,afdb,excluded_species
AF-E2D5R3-F1-model_v6,E2D5R3,afdb,excluded_species
AF-A0A1C4HD47-F1-model_v6,A0A1C4HD47,afdb,excluded_species
AF-E2D5R2-F1-model_v6,E2D5R2,afdb,excluded_species
AF-D4HPC5-F1-model_v6,D4HPC5,afdb,excluded_species
AF-F4YZV1-F1-model_v6,F4YZV1,afdb,excluded_species
AF-A0A1L2BM86-F1-model_v6,A0A1L2BM86,afdb,excluded_species
AF-G1C121-F1-model_v6,G1C121,afdb,excluded_species
AF-A0A141AZB0-F1-model_v6,A0A141AZB0,afdb,excluded_species
AF-G1ENH0-F1-model_v6,G1ENH0,afdb,excluded_species
AF-G9HW40-F1-model_v6,G9HW40,afdb,excluded_species
AF-F4YU58-F1-model_v6,F4YU58,afdb,excluded_species
AF-Q8HWL5-F1-model_v6,Q8HWL5,afdb,excluded_species
AF-B5LZ22-F1-model_v6,B5LZ22,afdb,excluded_species
AF-E0YTJ6-F1-model_v6,E0YTJ6,afdb,excluded_species
AF-A0A2H4FZ31-F1-model_v6,A0A2H4FZ31,afdb,excluded_species
AF-Q29759-F1-model_v6,Q29759,afdb,excluded_species
AF-D1MEQ8-F1-model_v6,D1MEQ8,afdb,excluded_species
AF-A0A0A7C7L8-F1-model_v6,A0A0A7C7L8,afdb,excluded_species
AF-M4MEZ9-F1-model_v6,M4MEZ9,afdb,excluded_species
AF-D5FZT6-F1-model_v6,D5FZT6,afdb,excluded_species
AF-I6M554-F1-model_v6,I6M554,afdb,excluded_species
AF-D5FZK3-F1-model_v6,D5FZK3,afdb,excluded_species
AF-A0A0N7A4B5-F1-model_v6,A0A0N7A4B5,afdb,excluded_species
AF-D2DKQ3-F1-model_v6,D2DKQ3,afdb,excluded_species
AF-R4N4G6-F1-model_v6,R4N4G6,afdb,excluded_species
AF-F8R8J4-F1-model_v6,F8R8J4,afdb,excluded_species
AF-F4YU34-F1-model_v6,F4YU34,afdb,excluded_species
AF-G1BEN3-F1-model_v6,G1BEN3,afdb,excluded_species
AF-C8C9V2-F1-model_v6,C8C9V2,afdb,excluded_species
AF-A0A0A7C8S6-F1-model_v6,A0A0A7C8S6,afdb,excluded_species
AF-D3U3V7-F1-model_v6,D3U3V7,afdb,excluded_species
AF-A0A1X9I422-F1-model_v6,A0A1X9I422,afdb,excluded_species
AF-R9QZ18-F1-model_v6,R9QZ18,afdb,excluded_species
AF-A0A180H6E7-F1-model_v6,A0A180H6E7,afdb,excluded_species
AF-E2GJM7-F1-model_v6,E2GJM7,afdb,excluded_species
AF-A0A0A7C5D4-F1-model_v6,A0A0A7C5D4,afdb,excluded_species
AF-D1G0T5-F1-model_v6,D1G0T5,afdb,excluded_species
AF-F6KRT4-F1-model_v6,F6KRT4,afdb,excluded_species
AF-D4HP91-F1-model_v6,D4HP91,afdb,excluded_species
AF-F8R8J1-F1-model_v6,F8R8J1,afdb,excluded_species
AF-C9WCU8-F1-model_v6,C9WCU8,afdb,excluded_species
AF-K9L8C4-F1-model_v6,K9L8C4,afdb,excluded_species
AF-D5FZL5-F1-model_v6,D5FZL5,afdb,excluded_species
AF-Q56FB0-F1-model_v6,Q56FB0,afdb,excluded_species
AF-I6NS77-F1-model_v6,I6NS77,afdb,excluded_species
AF-D5FWD1-F1-model_v6,D5FWD1,afdb,excluded_species
AF-A0A2H4G2A6-F1-model_v6,A0A2H4G2A6,afdb,excluded_species
AF-Q8WLT1-F1-model_v6,Q8WLT1,afdb,excluded_species
AF-L7PG40-F1-model_v6,L7PG40,afdb,excluded_species
AF-C9WCU6-F1-model_v6,C9WCU6,afdb,excluded_species
AF-D1G0U1-F1-model_v6,D1G0U1,afdb,excluded_species
AF-D5FWB7-F1-model_v6,D5FWB7,afdb,excluded_species
AF-Q9TPS5-F1-model_v6,Q9TPS5,afdb,excluded_species
AF-G9I2K6-F1-model_v6,G9I2K6,afdb,excluded_species
AF-G1EPP2-F1-model_v6,G1EPP2,afdb,excluded_species
AF-F2X5V1-F1-model_v6,F2X5V1,afdb,excluded_species
AF-A0A0A7C4C6-F1-model_v6,A0A0A7C4C6,afdb,excluded_species
AF-E2DH94-F1-model_v6,E2DH94,afdb,excluded_species
AF-D3U467-F1-model_v6,D3U467,afdb,excluded_species
AF-E9LY47-F1-model_v6,E9LY47,afdb,excluded_species
AF-A0A1X9I409-F1-model_v6,A0A1X9I409,afdb,excluded_species
AF-A8YQI6-F1-model_v6,A8YQI6,afdb,excluded_species
AF-D5FWD6-F1-model_v6,D5FWD6,afdb,excluded_species
AF-J7I296-F1-model_v6,J7I296,afdb,excluded_species
AF-C9WCS0-F1-model_v6,C9WCS0,afdb,excluded_species
AF-A0A0G2R1P1-F1-model_v6,A0A0G2R1P1,afdb,excluded_species
AF-C0KLS1-F1-model_v6,C0KLS1,afdb,excluded_species
AF-A0A0A7C9J4-F1-model_v6,A0A0A7C9J4,afdb,excluded_species
AF-L0BVL7-F1-model_v6,L0BVL7,afdb,excluded_species
AF-D2DKL0-F1-model_v6,D2DKL0,afdb,excluded_species
AF-A0A2H4FZ29-F1-model_v6,A0A2H4FZ29,afdb,excluded_species
AF-F6KRR5-F1-model_v6,F6KRR5,afdb,excluded_species
AF-G1EPQ9-F1-model_v6,G1EPQ9,afdb,excluded_species
AF-C4PJL1-F1-model_v6,C4PJL1,afdb,excluded_species
AF-G1EMP3-F1-model_v6,G1EMP3,afdb,excluded_species
AF-G1EPT6-F1-model_v6,G1EPT6,afdb,excluded_species
AF-E3SGA1-F1-model_v6,E3SGA1,afdb,excluded_species
AF-E0X5Z8-F1-model_v6,E0X5Z8,afdb,excluded_species
AF-K7P5G2-F1-model_v6,K7P5G2,afdb,excluded_species
AF-F8R1A6-F1-model_v6,F8R1A6,afdb,excluded_species
AF-H9BQ98-F1-model_v6,H9BQ98,afdb,excluded_species
AF-Q9GIM9-F1-model_v6,Q9GIM9,afdb,excluded_species
AF-D2DKL9-F1-model_v6,D2DKL9,afdb,excluded_species
AF-F8R161-F1-model_v6,F8R161,afdb,excluded_species
AF-A0A0X7YYM4-F1-model_v6,A0A0X7YYM4,afdb,excluded_species
AF-F8RHG5-F1-model_v6,F8RHG5,afdb,excluded_species
AF-D1G0S9-F1-model_v6,D1G0S9,afdb,excluded_species
AF-B0LUY5-F1-model_v6,B0LUY5,afdb,excluded_species
AF-A0A5B9GAB9-F1-model_v6,A0A5B9GAB9,afdb,excluded_species
AF-Q3LA49-F1-model_v6,Q3LA49,afdb,excluded_species
AF-A0A1X9I430-F1-model_v6,A0A1X9I430,afdb,excluded_species
AF-A0A0A7C475-F1-model_v6,A0A0A7C475,afdb,excluded_species
AF-I6NN10-F1-model_v6,I6NN10,afdb,excluded_species
AF-F4YU57-F1-model_v6,F4YU57,afdb,excluded_species
AF-S4T6R8-F1-model_v6,S4T6R8,afdb,excluded_species
AF-M1FUT1-F1-model_v6,M1FUT1,afdb,excluded_species
AF-A0A583ZBH3-F1-model_v6,A0A583ZBH3,afdb,excluded_species
AF-D5FZK9-F1-model_v6,D5FZK9,afdb,excluded_species
AF-I6MHI1-F1-model_v6,I6MHI1,afdb,excluded_species
AF-F8SKW7-F1-model_v6,F8SKW7,afdb,excluded_species
AF-D3U3Y5-F1-model_v6,D3U3Y5,afdb,excluded_species
AF-G9HW83-F1-model_v6,G9HW83,afdb,excluded_species
AF-D5FHV7-F1-model_v6,D5FHV7,afdb,excluded_species
AF-C9WD04-F1-model_v6,C9WD04,afdb,excluded_species
AF-M1FXU4-F1-model_v6,M1FXU4,afdb,excluded_species
AF-E0YTJ5-F1-model_v6,E0YTJ5,afdb,excluded_species
AF-C9WEP4-F1-model_v6,C9WEP4,afdb,excluded_species
AF-C8CH89-F1-model_v6,C8CH89,afdb,excluded_species
AF-G1ENI0-F1-model_v6,G1ENI0,afdb,excluded_species
AF-A0A0N7A4B8-F1-model_v6,A0A0N7A4B8,afdb,excluded_species
AF-F8R157-F1-model_v6,F8R157,afdb,excluded_species
AF-T1WEP2-F1-model_v6,T1WEP2,afdb,excluded_species
AF-A0A060VCZ5-F1-model_v6,A0A060VCZ5,afdb,excluded_species
AF-F8RHG7-F1-model_v6,F8RHG7,afdb,excluded_species
AF-F4YU61-F1-model_v6,F4YU61,afdb,excluded_species
AF-F2X5W4-F1-model_v6,F2X5W4,afdb,excluded_species
AF-F4YU62-F1-model_v6,F4YU62,afdb,excluded_species
AF-B0BK84-F1-model_v6,B0BK84,afdb,excluded_species
AF-A0A896SZ22-F1-model_v6,A0A896SZ22,afdb,excluded_species
AF-M1F364-F1-model_v6,M1F364,afdb,excluded_species
AF-A0A168GUU9-F1-model_v6,A0A168GUU9,afdb,excluded_species
AF-A0A2H4FZT1-F1-model_v6,A0A2H4FZT1,afdb,excluded_species
AF-E9LY46-F1-model_v6,E9LY46,afdb,excluded_species
AF-B2YG93-F1-model_v6,B2YG93,afdb,excluded_species
AF-A0A0A7C4F9-F1-model_v6,A0A0A7C4F9,afdb,excluded_species
AF-A0A180H704-F1-model_v6,A0A180H704,afdb,excluded_species
AF-A0A1C8DT11-F1-model_v6,A0A1C8DT11,afdb,excluded_species
AF-D5L9C1-F1-model_v6,D5L9C1,afdb,excluded_species
AF-A0A186VN56-F1-model_v6,A0A186VN56,afdb,excluded_species
AF-G1EMN0-F1-model_v6,G1EMN0,afdb,excluded_species
AF-G1EPS4-F1-model_v6,G1EPS4,afdb,excluded_species
AF-D4HPJ2-F1-model_v6,D4HPJ2,afdb,excluded_species
AF-A0A186VN06-F1-model_v6,A0A186VN06,afdb,excluded_species
AF-A0A0A7C9G6-F1-model_v6,A0A0A7C9G6,afdb,excluded_species
AF-G0ZDT8-F1-model_v6,G0ZDT8,afdb,excluded_species
AF-B2ZCW0-F1-model_v6,B2ZCW0,afdb,excluded_species
AF-K4JES8-F1-model_v6,K4JES8,afdb,excluded_species
AF-G1ENH5-F1-model_v6,G1ENH5,afdb,excluded_species
AF-D5FHX8-F1-model_v6,D5FHX8,afdb,excluded_species
AF-G1EPL7-F1-model_v6,G1EPL7,afdb,excluded_species
AF-F8R148-F1-model_v6,F8R148,afdb,excluded_species
AF-C8CH92-F1-model_v6,C8CH92,afdb,excluded_species
AF-C7FDS4-F1-model_v6,C7FDS4,afdb,excluded_species
AF-J7JWL8-F1-model_v6,J7JWL8,afdb,excluded_species
AF-A1IVL5-F1-model_v6,A1IVL5,afdb,excluded_species
AF-C7E589-F1-model_v6,C7E589,afdb,excluded_species
AF-A0A286MCG5-F1-model_v6,A0A286MCG5,afdb,excluded_species
AF-A0A6B7FVS2-F1-model_v6,A0A6B7FVS2,afdb,excluded_species
AF-C7FDR5-F1-model_v6,C7FDR5,afdb,excluded_species
AF-A0A1W5LVZ2-F1-model_v6,A0A1W5LVZ2,afdb,excluded_species
AF-A0A678ZHD7-F1-model_v6,A0A678ZHD7,afdb,excluded_species
AF-J7F7B3-F1-model_v6,J7F7B3,afdb,excluded_species
AF-A0A7L4X757-F1-model_v6,A0A7L4X757,afdb,excluded_species
AF-A0A167RQK8-F1-model_v6,A0A167RQK8,afdb,excluded_species
AF-A0A6B7IH53-F1-model_v6,A0A6B7IH53,afdb,excluded_species
AF-W0NXX4-F1-model_v6,W0NXX4,afdb,excluded_species
AF-A0A3S6RFT4-F1-model_v6,A0A3S6RFT4,afdb,excluded_species
AF-A0A3Q8TKD6-F1-model_v6,A0A3Q8TKD6,afdb,excluded_species
AF-Q45FY5-F1-model_v6,Q45FY5,afdb,excluded_species
AF-F4YZU8-F1-model_v6,F4YZU8,afdb,excluded_species
AF-A0A238TPE3-F1-model_v6,A0A238TPE3,afdb,excluded_species
AF-A0MVW9-F1-model_v6,A0MVW9,afdb,excluded_species
AF-R4N2M3-F1-model_v6,R4N2M3,afdb,excluded_species
