id,UMAP1,UMAP2,umap_input,umap_neighbors,umap_min_dist,umap_spread,umap_repulsion_strength,random_state,source,pdb_id,gene_name,mapped_class,mapped_superclass,mhc_bound_state
7ejl,10.284447,6.9080977,precomputed,8,0.8,1.0,1.0,42,pdb,7EJL,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
3x12,5.49206,13.851853,precomputed,8,0.8,1.0,1.0,42,pdb,3X12,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1qse,3.7723582,1.753349,precomputed,8,0.8,1.0,1.0,42,pdb,1QSE,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
1p7q,5.668981,5.0326786,precomputed,8,0.8,1.0,1.0,42,pdb,1P7Q,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8rlv,15.497689,22.402113,precomputed,8,0.8,1.0,1.0,42,pdb,8RLV,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
7p49,15.405334,21.609707,precomputed,8,0.8,1.0,1.0,42,pdb,7P49,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
6j1w,9.914155,3.1526542,precomputed,8,0.8,1.0,1.0,42,pdb,6J1W,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5jzi,4.801379,3.3188322,precomputed,8,0.8,1.0,1.0,42,pdb,5JZI,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7bh8,14.558319,22.848864,precomputed,8,0.8,1.0,1.0,42,pdb,7BH8,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
7tud,6.178118,13.851968,precomputed,8,0.8,1.0,1.0,42,pdb,7TUD,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1bd2,6.3155694,5.9292483,precomputed,8,0.8,1.0,1.0,42,pdb,1BD2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3x11,3.7382483,13.438496,precomputed,8,0.8,1.0,1.0,42,pdb,3X11,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
7ow6,11.094199,2.5935857,precomputed,8,0.8,1.0,1.0,42,pdb,7OW6,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
2d31,3.3573442,10.955455,precomputed,8,0.8,1.0,1.0,42,pdb,2D31,HLA-G,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
7ndt,13.344569,22.680168,precomputed,8,0.8,1.0,1.0,42,pdb,7NDT,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
5eo1,1.0220486,9.989739,precomputed,8,0.8,1.0,1.0,42,pdb,5EO1,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
3fqu,8.03419,0.48022076,precomputed,8,0.8,1.0,1.0,42,pdb,3FQU,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6p27,-1.1853356,10.0111885,precomputed,8,0.8,1.0,1.0,42,pdb,6P27,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
7lfz,1.4833782,7.3127594,precomputed,8,0.8,1.0,1.0,42,pdb,7LFZ,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t22,7.8913126,0.26862743,precomputed,8,0.8,1.0,1.0,42,pdb,1T22,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5vvp,4.4112105,13.170368,precomputed,8,0.8,1.0,1.0,42,pdb,5VVP,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
3gsn,7.001437,3.325144,precomputed,8,0.8,1.0,1.0,42,pdb,3GSN,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3vxu,8.305374,7.1197248,precomputed,8,0.8,1.0,1.0,42,pdb,3VXU,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
3bzf,13.432619,22.95115,precomputed,8,0.8,1.0,1.0,42,pdb,3BZF,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-L
6zkw,14.988793,22.787436,precomputed,8,0.8,1.0,1.0,42,pdb,6ZKW,HLA-E,HLA Class Ib,Non-classical MHC-I,MHC-bound-BL
7um2,6.8473015,0.6410388,precomputed,8,0.8,1.0,1.0,42,pdb,7UM2,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t1y,10.092482,0.03473624,precomputed,8,0.8,1.0,1.0,42,pdb,1T1Y,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
7lg0,2.576749,7.187133,precomputed,8,0.8,1.0,1.0,42,pdb,7LG0,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
8zv9,10.762965,6.2565775,precomputed,8,0.8,1.0,1.0,42,pdb,8ZV9,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
1hhk,7.9532704,5.115679,precomputed,8,0.8,1.0,1.0,42,pdb,1HHK,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5wwu,10.0387745,6.585808,precomputed,8,0.8,1.0,1.0,42,pdb,5WWU,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5xov,8.887393,6.768298,precomputed,8,0.8,1.0,1.0,42,pdb,5XOV,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7zuc,0.98357743,0.68244135,precomputed,8,0.8,1.0,1.0,42,pdb,7ZUC,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
6z9w,5.829738,4.0669966,precomputed,8,0.8,1.0,1.0,42,pdb,6Z9W,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
5vwd,4.7957034,13.429604,precomputed,8,0.8,1.0,1.0,42,pdb,5VWD,HLA-B,HLA Class Ia,Classical MHC-I,MHC-bound-L
1t1z,10.367622,0.11554787,precomputed,8,0.8,1.0,1.0,42,pdb,1T1Z,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
8ye4,11.072579,6.1067615,precomputed,8,0.8,1.0,1.0,42,pdb,8YE4,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-BL
7sis,6.558842,-0.39549825,precomputed,8,0.8,1.0,1.0,42,pdb,7SIS,HLA-A,HLA Class Ia,Classical MHC-I,MHC-bound-L
