pdb,chain_id
8RLV,C
3X11,C
1QSE,C
3BZF,C
7P49,C
1BD2,C
7LFZ,C
5JZI,C
7NDT,C
7BH8,G
3X12,C
6J1W,C
7EJL,C
3VXU,C
7TUD,C
7TUD,D
1P7Q,C
5EO1,C
6P27,C
3GSN,E
1T22,C
2D31,C
1T1Y,C
3FQU,C
7OW6,C
7UM2,C
8ZV9,C
5VVP,C
6ZKW,C
7LG0,C
1HHK,C
5XOV,C
1T1Z,C
7ZUC,C
7SIS,C
5TXS,C
5VWD,C
6Z9W,C
5WWU,C
8YE4,C
7NME,C
3VXS,C
5VWF,C
6P23,C
4F7P,C
5HHQ,C
7BBG,C
7RTD,C
2ESV,E
4NO0,C
5HGB,C
7NMD,C
1A9E,C
7N6E,C
7U1R,C
7P4B,C
7JYX,C
1Q94,C
2F54,C
4QOK,C
5XOT,C
1T21,C
3RL2,C
7TR4,E
6MTM,C
7MJA,C
3GSW,C
1AKJ,C
1QSF,C
5W6A,C
3FQT,C
4F7M,C
1HHH,C
1T1X,C
8QFY,C
7NDQ,C
6W51,C
8EN8,C
6J2A,C
7S8S,C
5WJL,C
7S7E,C
6UZ1,C
7WJ2,C
3D3V,C
7F4W,C
3I6L,C
1XR9,C
2XPG,C
3PWP,C
6J1V,C
3KXF,E
1I4F,C
8RYO,C
6MT3,B
3V5K,C
6UK2,C
7KGO,C
7RTR,C
3WLB,C
8RBV,C
6UJ7,C
6GHN,C
1T1W,C
7JYU,C
8XKC,C
6VM8,C
6ZKZ,C
4QRR,E
3VXP,C
5WSH,C
5WWJ,C
5VZ5,C
7NUI,C
5HHN,C
1S8D,C
7RK7,C
4JFP,C
6ZKY,C
8I5D,E
1DUY,C
3UTT,C
7PBE,C
3H9S,C
4O2F,C
1A9B,C
6ZKX,C
1YDP,C
7EJM,C
3V5D,C
3QFJ,C
2NX5,C
6ULI,C
7LG2,C
1CG9,C
6GGM,C
5ENW,C
7S8Q,C
3WL9,C
1S9Y,C
2CLR,C
5IUE,C
3MGT,C
5F9J,C
3OX8,C
1E27,C
3FT2,C
3FQW,C
1T20,C
3C9N,C
4WU5,C
2BVP,C
4NQV,C
7KGS,C
6AEE,C
6JP3,D
6JP3,C
5HGA,C
1HHG,C
4JFF,C
7N2R,C
8ELG,C
5NMK,C
1MHE,D
6GH4,C
8RYM,C
5D9S,C
7LG3,C
6MPP,B
3VXN,C
8RLT,C
8ENH,C
7N1B,C
8RH6,F
7SA2,C
5IM7,C
8RNG,C
6D2B,C
7S8F,C
7KGP,C
1EEY,C
2X4N,C
7N1E,C
5W1V,C
8ROP,C
8RHQ,F
7S79,C
6P2S,C
4F7T,C
5JHD,C
7WT4,C
1QVO,C
1QEW,C
4O2C,C
2F53,C
7S7F,C
7KGQ,C
3O3B,C
1S9X,C
2UWE,C
5HGD,C
6VB1,C
1LP9,C
8RYQ,C
7RZD,C
3REW,C
5ISZ,C
7WKJ,C
6AVF,E
5WJN,C
8RYP,C
8XFZ,C
6GL1,C
6UZQ,C
1QRN,C
6MT4,C
5EU3,C
5FDW,C
8E13,C
6UZS,C
3FQX,C
6VM9,C
3FT4,C
6AM5,C
8RYN,C
8ROO,B
6PAG,C
4NO5,C
5HYJ,C
5W69,C
6ID4,E
7MKB,C
8EB2,C
7NMF,C
8DVG,C
8GON,C
7OW4,C
7P3D,C
7P3E,C
6JOZ,C
1HSB,C
3MGO,C
8RLU,C
6GH1,C
5V5L,C
4N8V,C
3H9H,C
6AMT,C
1I7T,C
1HHI,C
7S8E,C
4JFE,C
7PB2,C
3NFN,C
5HGH,C
5T6Y,C
5VUE,C
7MJ7,C
8I5C,C
7S7D,C
5WKF,C
4NQX,C
6J29,C
4PRN,C
5HHM,C
3OXR,C
7MJ9,C
6JTP,C
5VUF,C
5T6X,C
5C07,C
3GJF,C
7LGD,C
5BRZ,C
5C0C,C
8ISN,C
3VFN,C
7KGT,C
3O4L,C
5W1W,C
2X70,C
6Z9X,C
2BVO,C
3GSO,C
6P64,C
6P2C,C
4XXC,B
7S8A,C
9BL6,C
6SSA,C
8TBW,C
3VFP,C
7OW5,C
2VLL,C
7JYV,C
3MRB,C
5SWQ,C
8RBU,C
3PWL,C
3X13,C
2X4S,C
4G8G,C
3IXA,C
7PBC,E
6RP9,C
7WJ3,C
7T5M,C
3VFU,C
6Q3S,C
1A1N,C
5HHO,C
4JQV,B
6UJ8,C
8F5A,E
3LN4,C
4MNQ,C
7R7X,C
6VB2,C
8XG2,C
6R2L,C
8SBK,C
4WUU,C
5E00,C
5FA4,C
8E8I,C
6MT6,B
3MRQ,C
8TUH,C
1W72,C
6G3J,C
8SHI,C
6O4Z,C
2VLK,C
2P5E,C
4O2E,C
7LGT,C
6O4Y,C
3PWN,C
6PTE,C
5C08,C
5E9D,C
5HHP,C
2GJ6,C
3MRM,C
6RSY,C
6TRO,C
8XES,C
4PRA,C
8FU4,C
6BXP,C
3HPJ,C
2DYP,C
3O3E,C
3V5H,C
5WKH,C
3SJV,C
3BXN,C
6O9C,C
3BH8,C
8I5E,C
3VRJ,C
5WMP,C
1I1F,C
6TRN,C
3VFV,C
8TBV,C
6SS9,C
8U9G,C
5MEN,C
5WMN,C
7WT5,C
3D39,C
7L1C,C
5IRO,B
6V2P,C
1S9W,C
5N6B,C
6VMA,C
7WZZ,C
3LN5,C
3GSX,C
8EO8,C
5V5M,C
8EMG,C
7RM4,C
7RRG,C
2AV1,C
7DZN,C
4U6Y,C
5C0B,C
8ERX,C
8ES9,E
6VB0,C
8E2Z,C
4U1I,C
2GUO,C
3L3K,C
3UTS,C
9BL5,C
4UQ3,C
5WXC,C
5T6W,C
6JTN,C
1OGA,C
6D2T,C
6PBH,C
5IEH,C
1B0G,C
7RZJ,C
6MTL,C
3MR9,C
1B0R,C
3GSQ,C
2GTW,C
3MRC,C
3HCV,C
6EWC,C
1AGF,C
4JRX,C
8ES8,E
3I6G,C
4L29,C
6BJ2,C
7WT3,C
4I4W,C
7NDU,C
5EU4,C
6VB7,C
3KPO,C
3PWJ,C
7N6D,C
4E5X,C
5C09,C
1AGD,C
7KGR,C
1AO7,C
7SIH,C
3GSR,C
3H7B,C
7Q98,C
1TVH,C
3GSU,C
3BZE,C
7EJN,C
8RJI,C
3MRJ,C
2J8U,C
4FTV,C
3HAE,C
6UZN,C
1QR1,C
6V3J,C
5NMF,C
7Q9A,C
7JYW,C
2AV7,C
6PYV,C
7N1F,C
6VM7,C
8EMK,C
6D2R,C
7U21,C
5DDH,C
7M8T,C
3VFS,C
3VRI,C
6Z9V,C
4U1L,C
7NMG,C
2BCK,C
2RFX,C
6UJ9,C
8EK5,C
