pdb_id,res_start,res_end,uniprot_id,target_length,mapped_length,uniprot_name,organism,gene_name,entry_status,belongs_to,mapped_class,mapped_superclass
AF-Q9TP47-F1-model_v6,10,189,Q9TP47,180,191,MHC class I antigen HLA-B heavy chain,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-Q4ZHW0-F1-model_v6,25,204,Q4ZHW0,180,206,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-Q95363-F1-model_v6,2,179,Q95363,178,181,HLA-B protein,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-A0A8F4JDT8-F1-model_v6,2,179,A0A8F4JDT8,178,181,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-Q9GJ54-F1-model_v6,25,204,Q9GJ54,180,206,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-Q95HM0-F1-model_v6,16,195,Q95HM0,180,197,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-Q7JFI6-F1-model_v6,2,179,Q7JFI6,178,181,Leucocyte antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-O19645-F1-model_v6,2,179,O19645,178,181,HLA-B*1805 alpha1 and alpha2 domains,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-A0A2P1E963-F1-model_v6,2,179,A0A2P1E963,178,181,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
AF-A0A140HLF2-F1-model_v6,25,204,A0A140HLF2,180,362,MHC class I antigen,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,HLA Class Ia,Classical MHC-I
