pdb,chain,tstart,tend,status
AF-E9LY28-F1-model_v6,NoChainInfo,2,179,primary
AF-Q4ZHW0-F1-model_v6,NoChainInfo,25,204,primary
AF-G1EPK5-F1-model_v6,NoChainInfo,2,179,primary
AF-Q9TP47-F1-model_v6,NoChainInfo,10,189,primary
AF-D5FHX9-F1-model_v6,NoChainInfo,2,179,primary
AF-M1FUU1-F1-model_v6,NoChainInfo,2,179,primary
AF-D3XDG1-F1-model_v6,NoChainInfo,2,179,primary
AF-F2VYK1-F1-model_v6,NoChainInfo,2,179,primary
AF-C8CJE0-F1-model_v6,NoChainInfo,2,179,primary
AF-D9U3H4-F1-model_v6,NoChainInfo,2,179,primary
AF-D0VE37-F1-model_v6,NoChainInfo,2,179,primary
AF-I6QQT3-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YZV1-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A0N7A4Q6-F1-model_v6,NoChainInfo,2,179,primary
AF-C7FDS0-F1-model_v6,NoChainInfo,2,179,primary
AF-D3U494-F1-model_v6,NoChainInfo,2,179,primary
AF-G1ENH0-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU60-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A1C4HD47-F1-model_v6,NoChainInfo,2,179,primary
AF-A0A141AZ86-F1-model_v6,NoChainInfo,2,179,primary
AF-G1C121-F1-model_v6,NoChainInfo,2,179,primary
AF-F4YU58-F1-model_v6,NoChainInfo,2,179,primary
AF-Q8HWL5-F1-model_v6,NoChainInfo,2,179,primary
AF-B5LZ22-F1-model_v6,NoChainInfo,2,179,primary
AF-Q29759-F1-model_v6,NoChainInfo,2,179,primary
AF-D1MEQ8-F1-model_v6,NoChainInfo,2,179,primary
AF-I6NS75-F1-model_v6,NoChainInfo,2,179,primary
AF-E2D5R3-F1-model_v6,NoChainInfo,2,179,primary
AF-D5FZT6-F1-model_v6,NoChainInfo,2,179,primary
AF-I6MHH7-F1-model_v6,NoChainInfo,2,179,primary
