pdb_id,new_chain,original_chain,uniprot_id,gene_name,uniprot_name,organism,classification
24ST,B,A,GO_FALLBACK,Missing entry,Alpha chain 14D7 TCR,Homo sapiens,Alpha chain 14D7 TCR
13BR,C,L,GO_FALLBACK,Missing entry,Fab light chain,Homo sapiens,Fab light chain
13BR,B,H,GO_FALLBACK,Missing entry,Fab heavy chain,Homo sapiens,Fab heavy chain
1W72,E,L,GO_FALLBACK,Missing entry,HYB3 LIGHT CHAIN,Homo sapiens,HYB3 LIGHT CHAIN
1QSE,E,E,GO_FALLBACK,Missing entry,PROTEIN (human T-Cell receptor),Homo sapiens,PROTEIN (human T-Cell receptor)
1W72,D,H,GO_FALLBACK,Missing entry,HYB3 HEAVY CHAIN,Homo sapiens,HYB3 HEAVY CHAIN
24ST,C,B,GO_FALLBACK,Missing entry,Beta chain 14D7 TCR,Homo sapiens,Beta chain 14D7 TCR
28IL,H,J,GO_FALLBACK,Missing entry,P1-15 T-cell Receptor Beta Chain,Homo sapiens,P1-15 T-cell Receptor Beta Chain
1QSE,D,D,GO_FALLBACK,Missing entry,PROTEIN (human T-Cell receptor),Homo sapiens,PROTEIN (human T-Cell receptor)
1QSF,E,E,GO_FALLBACK,Missing entry,HUMAN T-CELL RECEPTOR,Homo sapiens,HUMAN T-CELL RECEPTOR
28IL,G,I,GO_FALLBACK,Missing entry,P1-15 T-cell Receptor Alpha Chain,Homo sapiens,P1-15 T-cell Receptor Alpha Chain
1QRN,E,E,GO_FALLBACK,Missing entry,"T-CELL RECEPTOR, BETA CHAIN",Homo sapiens,"T-CELL RECEPTOR, BETA CHAIN"
1IM3,D,D,P09713,US2,Unique short US2 glycoprotein,Human cytomegalovirus (strain AD169),US2
1MI5,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
1KCG,B,A,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
1OGA,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1HYR,C,B,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
1DE4,D,F,P02786,TFRC,Transferrin receptor protein 1,Homo sapiens,TFRC
1HYR,B,A,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
1EFX,D,D,P43627,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,Homo sapiens,KIR2DL2
2AK4,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1KCG,C,B,P26718,KLRK1,NKG2-D type II integral membrane protein,Homo sapiens,KLRK1
1QSF,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1IM9,D,D,P43626,KIR2DL1,Killer cell immunoglobulin-like receptor 2DL1,Homo sapiens,KIR2DL1
1DE4,C,C,P02786,TFRC,Transferrin receptor protein 1,Homo sapiens,TFRC
2AK4,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
1AO7,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2F54,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1OGA,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2F53,D,D,A0A0B4J279,TRAV21,T cell receptor alpha variable 21,Homo sapiens,TRAV21
2ESV,C,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1BD2,E,E,GO_FALLBACK,Missing entry,T CELL RECEPTOR BETA,Homo sapiens,T CELL RECEPTOR BETA
1BD2,D,D,GO_FALLBACK,Missing entry,T CELL RECEPTOR ALPHA,Homo sapiens,T CELL RECEPTOR ALPHA
2NX5,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2F53,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2P5E,D,D,A0A0B4J279,TRAV21,T cell receptor alpha variable 21,Homo sapiens,TRAV21
2GJ6,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2P5W,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2F54,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2PO6,C,C,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
2NX5,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
2P5E,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2P5W,D,D,A0A0B4J279,TRAV21,T cell receptor alpha variable 21,Homo sapiens,TRAV21
2YPL,D,D,GO_FALLBACK,Missing entry,AGA T-CELL RECEPTOR ALPHA CHAIN,Homo sapiens,AGA T-CELL RECEPTOR ALPHA CHAIN
2YPL,E,E,GO_FALLBACK,Missing entry,AGA T-CELL RECEPTOR BETA CHAIN,Homo sapiens,AGA T-CELL RECEPTOR BETA CHAIN
2VLJ,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2BNQ,E,E,GO_FALLBACK,Missing entry,T-CELL RECEPTOR BETA CHAIN C REGION,Homo sapiens,T-CELL RECEPTOR BETA CHAIN C REGION
2VLK,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
2BNQ,D,D,GO_FALLBACK,Missing entry,T-CELL RECEPTOR ALPHA CHAIN V REGION,Homo sapiens,T-CELL RECEPTOR ALPHA CHAIN V REGION
2VLR,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2PO6,D,D,P0DTU4,TRB,T cell receptor beta chain MC.7.G5,Homo sapiens,TRB
2PYE,D,D,A0A0B4J279,TRAV21,T cell receptor alpha variable 21,Homo sapiens,TRAV21
2VLR,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3D3V,D,D,GO_FALLBACK,Missing entry,A6 TCR alpha chain,Homo sapiens,A6 TCR alpha chain
2PYE,E,E,P01850,TRBC1,T cell receptor beta constant 1,Homo sapiens,TRBC1
2BNR,E,E,GO_FALLBACK,Missing entry,T-CELL RECEPTOR BETA CHAIN C REGION,Homo sapiens,T-CELL RECEPTOR BETA CHAIN C REGION
1QRN,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
1MI5,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3GJF,E,L,GO_FALLBACK,Missing entry,Antibody light chain,Homo sapiens,Antibody light chain
2VLJ,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
2GJ6,D,D,P01848,TRAC,T cell receptor alpha chain constant,Homo sapiens,TRAC
3GJF,D,H,GO_FALLBACK,Missing entry,Antibody heavy chain,Homo sapiens,Antibody heavy chain
