pdb_id,rule,present_classes,missing_classes,present_chains
3VXM,TCR_alpha_beta,TCRa,TCRb,TCRa:D
4JRX,TCR_alpha_beta,TCRa,TCRb,TCRa:D
4LHU,TCR_alpha_beta,TCRa,TCRb,TCRa:D
4LHU,TCR_gamma_delta,TCRg,TCRd,TCRg:F
4MJI,TCR_alpha_beta,TCRb,TCRa,TCRb:E
4MNG,TCR_alpha_beta,TCRa,TCRb,TCRa:C
4MNQ,TCR_alpha_beta,TCRb,TCRa,TCRb:E
4N0U,antibody_heavy_light,AbH,AbL,AbH:D
4WO4,TCR_alpha_beta,TCRb,TCRa,TCRb:D
4WO4,TCR_gamma_delta,TCRd,TCRg,TCRd:C
5E6I,TCR_alpha_beta,TCRb,TCRa,TCRb:C
5XOT,TCR_alpha_beta,TCRb,TCRa,TCRb:E
5XOT,TCR_gamma_delta,TCRd,TCRg,TCRd:D
5XOV,TCR_alpha_beta,TCRb,TCRa,TCRb:E
5XOV,TCR_gamma_delta,TCRd,TCRg,TCRd:D
6BJ2,TCR_alpha_beta,TCRa,TCRb,TCRa:D
6BJ3,TCR_alpha_beta,TCRa,TCRb,TCRa:D
6BJ8,TCR_alpha_beta,TCRa,TCRb,TCRa:D
6D7G,TCR_alpha_beta,TCRa,TCRb,TCRa:B
6D7G,TCR_gamma_delta,TCRg,TCRd,TCRg:C
6FGB,antibody_heavy_light,AbL,AbH,AbL:D
6V80,TCR_alpha_beta,TCRa,TCRb,TCRa:C
6WNA,antibody_heavy_light,AbH,AbL,AbH:C
6WOL,antibody_heavy_light,AbH,AbL,AbH:C
7Q15,antibody_heavy_light,AbH,AbL,AbH:C
7RYM,TCR_alpha_beta,TCRb,TCRa,TCRb:C
7RYO,TCR_alpha_beta,TCRb,TCRa,TCRb:C
8TM0,NKG2_superclass_pair,NKG2,second_NKG2_superclass_binder,NKG2:B
8TM2,NKG2_superclass_pair,NKG2,second_NKG2_superclass_binder,NKG2:B
