pdb,reason
6TDQ,mhc_aminoacid_contact
1HSB,mhc_aminoacid_contact
3VRJ,mhc_non_aminoacid_contact
7SRK,mhc_aminoacid_contact
6TDP,mhc_aminoacid_contact
3VRI,mhc_non_aminoacid_contact
7SR5,mhc_aminoacid_contact
7SR0,mhc_aminoacid_contact
7SR3,mhc_aminoacid_contact
6VQZ,mhc_aminoacid_contact
7SR4,mhc_aminoacid_contact
6VQY,mhc_aminoacid_contact
6TDO,mhc_aminoacid_contact
6D7G,mhc_aminoacid_contact
8FRT,mhc_aminoacid_contact
5U98,mhc_non_aminoacid_contact
7ST3,mhc_aminoacid_contact
7SSH,mhc_aminoacid_contact
9C6X,mhc_aminoacid_contact
7SQP,mhc_aminoacid_contact
8TNJ,mhc_aminoacid_contact
3UPR,mhc_non_aminoacid_contact
9C6W,mhc_aminoacid_contact
6APN,mhc_aminoacid_contact
9C6V,mhc_aminoacid_contact
9C3E,mhc_aminoacid_contact
6PUI,mhc_non_aminoacid_contact
5U1R,mhc_non_aminoacid_contact
6PUL,mhc_non_aminoacid_contact
5U16,mhc_non_aminoacid_contact
6PUD,mhc_non_aminoacid_contact
6XQP,mhc_non_aminoacid_contact
7ZT8,mhc_non_aminoacid_contact
9BTX,mhc_non_aminoacid_contact
5U6Q,mhc_non_aminoacid_contact
4NQD,mhc_non_aminoacid_contact
6PUM,mhc_non_aminoacid_contact
4L4V,mhc_non_aminoacid_contact
6PUC,mhc_non_aminoacid_contact
6PUJ,mhc_non_aminoacid_contact
6W9U,mhc_non_aminoacid_contact
6PUH,mhc_non_aminoacid_contact
9CGR,mhc_non_aminoacid_contact
8Y6X,mhc_non_aminoacid_contact
4PJF,mhc_non_aminoacid_contact
5D7I,mhc_non_aminoacid_contact
6PVD,mhc_non_aminoacid_contact
6PVC,mhc_non_aminoacid_contact
6PUF,mhc_non_aminoacid_contact
4PJI,mhc_non_aminoacid_contact
4NQE,mhc_non_aminoacid_contact
4NQC,mhc_non_aminoacid_contact
5U2V,mhc_non_aminoacid_contact
4PJ5,mhc_non_aminoacid_contact
9BTY,mhc_non_aminoacid_contact
6PUG,mhc_non_aminoacid_contact
6PUE,mhc_non_aminoacid_contact
5U17,mhc_non_aminoacid_contact
4PJE,mhc_non_aminoacid_contact
4PJ8,mhc_non_aminoacid_contact
5D7L,mhc_non_aminoacid_contact
6PUK,mhc_non_aminoacid_contact
7ZT2,mhc_non_aminoacid_contact
4PJ9,mhc_non_aminoacid_contact
9BTZ,mhc_non_aminoacid_contact
4PJG,mhc_non_aminoacid_contact
4PJC,mhc_non_aminoacid_contact
7UFJ,mhc_non_aminoacid_contact
5D7J,mhc_non_aminoacid_contact
4PJ7,mhc_non_aminoacid_contact
9BU0,mhc_non_aminoacid_contact
4PJH,mhc_non_aminoacid_contact
5D5M,mhc_non_aminoacid_contact
8BP6,mhc_non_aminoacid_contact
7ZT5,mhc_non_aminoacid_contact
4PJD,mhc_non_aminoacid_contact
7ZT7,mhc_non_aminoacid_contact
4PJX,mhc_non_aminoacid_contact
7ZT4,mhc_non_aminoacid_contact
4PJA,mhc_non_aminoacid_contact
7LLI,mhc_non_aminoacid_contact
4LCW,mhc_non_aminoacid_contact
4L4T,mhc_non_aminoacid_contact
7UMG,mhc_non_aminoacid_contact
4GUP,mhc_non_aminoacid_contact
7ZT9,mhc_non_aminoacid_contact
4PJB,mhc_non_aminoacid_contact
7LLJ,mhc_non_aminoacid_contact
6MWR,mhc_non_aminoacid_contact
3ES6,mhc_non_aminoacid_contact
1T7V,mhc_non_aminoacid_contact
4WO4,mhc_non_aminoacid_contact
6V7Y,mhc_non_aminoacid_contact
8SOS,mhc_non_aminoacid_contact
3SDX,mhc_non_aminoacid_contact
1ONQ,mhc_non_aminoacid_contact
7MXF,mhc_non_aminoacid_contact
7MX4,mhc_non_aminoacid_contact
3U0P,mhc_non_aminoacid_contact
1XZ0,mhc_non_aminoacid_contact
4WW2,mhc_non_aminoacid_contact
6V7Z,mhc_non_aminoacid_contact
8DV4,mhc_non_aminoacid_contact
4LHU,mhc_non_aminoacid_contact
8SGM,mhc_non_aminoacid_contact
3HUJ,mhc_non_aminoacid_contact
6SNY,mhc_non_aminoacid_contact
8DV3,mhc_non_aminoacid_contact
8SOS,mhc_non_aminoacid_contact
3VWK,mhc_non_aminoacid_contact
7RYO,mhc_non_aminoacid_contact
3TZV,mhc_non_aminoacid_contact
1L8J,mhc_non_aminoacid_contact
7RYN,mhc_non_aminoacid_contact
8GLE,mhc_non_aminoacid_contact
4MNG,mhc_non_aminoacid_contact
7MXH,mhc_non_aminoacid_contact
8GLF,mhc_non_aminoacid_contact
5L2J,mhc_non_aminoacid_contact
