pdb_id_1,pdb_id_2,mhc_relation,binder_matches_json,overall_containment_direction,binder_count,ligand_descriptor_count,ligand_signature_sha256_16,group_1,group_2,same_assigned_group
1EXU,5BXF,exact,[],exact,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
1EXU,6C97,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
1EXU,6C98,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
1EXU,6C99,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01144,no
1EXU,9OC6,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
1T7W,1T7X,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7W,1T7Y,exact,[],exact,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7W,1T7Z,exact,[],exact,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7W,1T80,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7X,1T7Y,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7X,1T7Z,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7X,1T80,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7Y,1T7Z,exact,[],exact,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7Y,1T80,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1T7Z,1T80,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00993,RED00993,yes
1ZAG,6R2U,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED00973,RED00973,yes
5BXF,6C97,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
5BXF,6C98,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
5BXF,6C99,left_in_right,[],left_in_right,0,0,4f53cda18c2baa0c,RED01143,RED01144,no
5BXF,9OC6,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
6C97,6C98,exact,[],exact,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
6C97,9OC6,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
6C98,9OC6,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED01143,RED01143,yes
6C99,9OC6,right_in_left,[],right_in_left,0,0,4f53cda18c2baa0c,RED01144,RED01143,no
6QIO,6QIP,exact,"[{""left_index"":0,""right_index"":0,""left_length"":584,""right_length"":582,""relation"":""right_in_left"",""start_in_longer_0based"":1}]",right_in_left,1,0,4f53cda18c2baa0c,RED01130,RED01130,yes
6TDR,6TDS,exact,[],exact,0,0,4f53cda18c2baa0c,RED00165,RED00165,yes
6TDR,7STG,exact,[],exact,0,0,4f53cda18c2baa0c,RED00165,RED00165,yes
6TDS,7STG,exact,[],exact,0,0,4f53cda18c2baa0c,RED00165,RED00165,yes
1A9B,1A9E,exact,[],exact,0,1,b318bd23fc9b831a,RED00586,RED00586,yes
1AKJ,1HHJ,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1AKJ,1P7Q,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1AKJ,2X4U,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1AKJ,6EWA,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1HHJ,1P7Q,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1HHJ,2X4U,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1HHJ,6EWA,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1P7Q,2X4U,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1P7Q,6EWA,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
2X4U,6EWA,exact,[],exact,0,1,ac7e63a74086c3de,RED00411,RED00411,yes
1DUZ,1HHK,exact,[],exact,0,1,1acc20adefb9a4de,RED00198,RED00198,yes
1DUZ,6UZ1,exact,[],exact,0,1,1acc20adefb9a4de,RED00198,RED00198,yes
1HHK,6UZ1,exact,[],exact,0,1,1acc20adefb9a4de,RED00198,RED00198,yes
1HHI,2VLL,exact,[],exact,0,1,223efbddf231fbd2,RED00095,RED00095,yes
1OGA,2VLJ,exact,"[{""left_index"":0,""right_index"":0,""left_length"":241,""right_length"":240,""relation"":""right_in_left"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":200,""right_length"":199,""relation"":""right_in_left"",""start_in_longer_0based"":0}]",right_in_left,2,1,223efbddf231fbd2,RED00032,RED00032,yes
1OGA,2VLK,exact,"[{""left_index"":0,""right_index"":0,""left_length"":241,""right_length"":240,""relation"":""right_in_left"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":200,""right_length"":199,""relation"":""right_in_left"",""start_in_longer_0based"":0}]",right_in_left,2,1,223efbddf231fbd2,RED00032,RED00032,yes
2VLJ,2VLK,exact,"[{""left_index"":0,""right_index"":0,""left_length"":240,""right_length"":240,""relation"":""exact"",""start_in_longer_0based"":0},{""left_index"":1,""right_index"":1,""left_length"":199,""right_length"":199,""relation"":""exact"",""start_in_longer_0based"":0}]",exact,2,1,223efbddf231fbd2,RED00032,RED00032,yes
1JHT,2GTZ,exact,[],exact,0,1,8d3889f027c76299,RED00153,RED00153,yes
1L8J,7OKS,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01159,no
1L8J,7OKT,right_in_left,[],right_in_left,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
1L8J,7OKU,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
1L8J,7Q5D,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
7OKS,7OKT,right_in_left,[],right_in_left,0,1,cb26f5e41f948f4b,RED01159,RED01142,no
7OKT,7OKU,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
7OKT,7Q5D,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
7OKU,7Q5D,left_in_right,[],left_in_right,0,1,cb26f5e41f948f4b,RED01142,RED01142,yes
1SYV,8TQ5,exact,[],exact,0,1,804b5fde74914dce,RED00150,RED00150,yes
1OF2,5IB5,exact,[],exact,0,1,29b584388bfd5360,RED00459,RED00459,yes
1OGT,5IB1,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
1OGT,5IB2,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
1OGT,5IB3,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
1OGT,5IB4,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB1,5IB2,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB1,5IB3,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB1,5IB4,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB2,5IB3,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB2,5IB4,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
5IB3,5IB4,exact,[],exact,0,1,29b584388bfd5360,RED00043,RED00043,yes
1Q94,6ID4,exact,[],exact,0,1,68093974b4232c16,RED00547,RED00547,yes
1T1W,2C7U,exact,[],exact,0,1,14ef614d05839765,RED00133,RED00133,yes
1T1W,5NMK,exact,[],exact,0,1,14ef614d05839765,RED00133,RED00133,yes
2C7U,5NMK,exact,[],exact,0,1,14ef614d05839765,RED00133,RED00133,yes
