pdb,uniprot_id,database,reason
2QRI,P01887,pdb,chimeric_mapping_resolution
2QRS,P01887,pdb,chimeric_mapping_resolution
2QRT,P01887,pdb,chimeric_mapping_resolution
3NWM,P01887,pdb,chimeric_mapping_resolution
3OV6,P61769,pdb,chimeric_mapping_resolution
3OV6,P29016,pdb,chimeric_mapping_resolution
3S6C,P61769,pdb,chimeric_mapping_resolution
4IIQ,P01888,pdb,chimeric_mapping_resolution
4L8S,P01888,pdb,chimeric_mapping_resolution
4L9L,P01888,pdb,chimeric_mapping_resolution
4LCC,P01888,pdb,chimeric_mapping_resolution
4MNG,P11609,pdb,chimeric_mapping_resolution
4MQ7,P11609,pdb,chimeric_mapping_resolution
4ONO,P61769,pdb,chimeric_mapping_resolution
4ONO,P29017,pdb,chimeric_mapping_resolution
5C9J,P29016,pdb,chimeric_mapping_resolution
5OQF,P01887,pdb,chimeric_mapping_resolution
5OQG,P01887,pdb,chimeric_mapping_resolution
5OQH,P01887,pdb,chimeric_mapping_resolution
5OQI,P01887,pdb,chimeric_mapping_resolution
6APN,P03129,pdb,chimeric_mapping_resolution
6APN,P61769,pdb,chimeric_mapping_resolution
6D7G,P61769,pdb,chimeric_mapping_resolution
6MP0,P07147,pdb,chimeric_mapping_resolution
6MP0,P01887,pdb,chimeric_mapping_resolution
6MP1,P07147,pdb,chimeric_mapping_resolution
6MP1,P01887,pdb,chimeric_mapping_resolution
7MX4,P29016,pdb,chimeric_mapping_resolution
7MXF,P29016,pdb,chimeric_mapping_resolution
7MXH,P29016,pdb,chimeric_mapping_resolution
7RNO,C1ITJ8,pdb,chimeric_mapping_resolution
7SQP,P03129,pdb,chimeric_mapping_resolution
7SQP,P16213,pdb,chimeric_mapping_resolution
7SR0,P03129,pdb,chimeric_mapping_resolution
7SR0,P16213,pdb,chimeric_mapping_resolution
7SR3,P03129,pdb,chimeric_mapping_resolution
7SR3,P16213,pdb,chimeric_mapping_resolution
7SR4,P03129,pdb,chimeric_mapping_resolution
7SR4,P16213,pdb,chimeric_mapping_resolution
7SR5,P19544,pdb,chimeric_mapping_resolution
7SR5,P16213,pdb,chimeric_mapping_resolution
7SRK,Q6NSI4,pdb,chimeric_mapping_resolution
7SRK,P16213,pdb,chimeric_mapping_resolution
7SSH,P03129,pdb,chimeric_mapping_resolution
7SSH,P16213,pdb,chimeric_mapping_resolution
7ST3,P03129,pdb,chimeric_mapping_resolution
7ST3,P16213,pdb,chimeric_mapping_resolution
7STG,Q6NSI4,pdb,chimeric_mapping_resolution
7STG,P16213,pdb,chimeric_mapping_resolution
8BP6,P61769,pdb,chimeric_mapping_resolution
8ESA,P61769,pdb,chimeric_mapping_resolution
8FRT,P09727,pdb,chimeric_mapping_resolution
8FRT,P61769,pdb,chimeric_mapping_resolution
8SOS,P05412,pdb,chimeric_mapping_resolution
8TNJ,P61769,pdb,chimeric_mapping_resolution
9C3E,P78358,pdb,chimeric_mapping_resolution
9C3E,P61769,pdb,chimeric_mapping_resolution
9C6V,Q9NX02,pdb,chimeric_mapping_resolution
9C6V,P61769,pdb,chimeric_mapping_resolution
9C6W,Q9NX02,pdb,chimeric_mapping_resolution
9C6W,P61769,pdb,chimeric_mapping_resolution
9C6X,Q9NX02,pdb,chimeric_mapping_resolution
9C6X,P61769,pdb,chimeric_mapping_resolution
6E1I,P01887,pdb,excluded_species
3RWC,Q9GJ77,pdb,excluded_species
4ZUS,Q860N6,pdb,excluded_species
3RWI,Q9GJ77,pdb,excluded_species
3RWH,Q9GJ77,pdb,excluded_species
3RWD,Q9GJ77,pdb,excluded_species
3RWE,Q9GJ77,pdb,excluded_species
4ZUW,Q860N6,pdb,excluded_species
3RWF,Q9GJ77,pdb,excluded_species
4ZUU,Q860N6,pdb,excluded_species
3RWJ,Q9GJ77,pdb,excluded_species
6IWG,B2ZHY7,pdb,excluded_species
5XMF,C6ZK72,pdb,excluded_species
4ZUV,Q860N6,pdb,excluded_species
3JTS,Q30597,pdb,excluded_species
8HT1,G1PNR4,pdb,excluded_species
7CJQ,O46882,pdb,excluded_species
6L9K,P01897,pdb,excluded_species
6JQ2,P01901,pdb,excluded_species
5XMM,C6ZK72,pdb,excluded_species
6L9N,P01897,pdb,excluded_species
6LT6,B2ZHY7,pdb,excluded_species
4ZUT,Q860N6,pdb,excluded_species
4ZFZ,K4MU32,pdb,excluded_species
3JTT,Q30597,pdb,excluded_species
8HSO,G1PNR4,pdb,excluded_species
3RWG,Q9GJ77,pdb,excluded_species
2E7L,P01897,pdb,excluded_species
6LB2,A0A1E1GJG5,pdb,excluded_species
5F1N,J9UGS3,pdb,excluded_species
1KPV,P01901,pdb,excluded_species
6IWH,B2ZHY7,pdb,excluded_species
4HUV,P01899,pdb,excluded_species
7BYD,B2ZHY7,pdb,excluded_species
5J6H,P01898,pdb,excluded_species
1S7Q,P01901,pdb,excluded_species
1S7S,P01901,pdb,excluded_species
4PGD,P01901,pdb,excluded_species
5GR7,P01902,pdb,excluded_species
7WCY,P01901,pdb,excluded_species
1S7R,P01901,pdb,excluded_species
1RJY,P01901,pdb,excluded_species
7DC6,B2KT53,pdb,excluded_species
7XQU,Q95482,pdb,excluded_species
6J2G,A0A125R585,pdb,excluded_species
2CLV,P01901,pdb,excluded_species
5J6G,P01898,pdb,excluded_species
5F1I,J9UGS3,pdb,excluded_species
3PWU,Q95477,pdb,excluded_species
6M24,P06140,pdb,excluded_species
1FZJ,P01901,pdb,excluded_species
2OI9,P01897,pdb,excluded_species
1VGK,P01902,pdb,excluded_species
7XQS,C6ZK69,pdb,excluded_species
6J2H,A0A125R585,pdb,excluded_species
2FWO,P01902,pdb,excluded_species
1RK0,P01901,pdb,excluded_species
1ED3,P16391,pdb,excluded_species
6J2J,A0A125R585,pdb,excluded_species
4HKJ,P01901,pdb,excluded_species
5IVX,P01900,pdb,excluded_species
2XFX,Q30291,pdb,excluded_species
