PDB_ID,redundancy_group
3FT3,RED00015
2VLJ,RED00032
2VLK,RED00032
1OGT,RED00043
5IB1,RED00043
5IB3,RED00043
5IB4,RED00043
7WKJ,RED00045
1T20,RED00079
1T21,RED00093
1T22,RED00093
1HHI,RED00095
4NNX,RED00096
2X4R,RED00098
7RZJ,RED00110
7S8A,RED00110
5N6B,RED00113
1T1W,RED00133
2C7U,RED00133
7MKB,RED00137
7RTD,RED00137
7N1A,RED00137
7N6D,RED00137
2GUO,RED00139
8TQ5,RED00150
1JHT,RED00153
7WT4,RED00164
6TDR,RED00165
7STG,RED00165
9C6W,RED00166
2H6P,RED00176
1HHK,RED00198
6UZ1,RED00198
7RZD,RED00222
8SBL,RED00226
4O2E,RED00231
7F4W,RED00265
8HN4,RED00270
2X4P,RED00281
8DVG,RED00306
3NFN,RED00324
5HGH,RED00324
3QZW,RED00324
8VCL,RED00328
5WMQ,RED00371
9CX2,RED00374
3VXO,RED00393
6EWA,RED00411
1HHJ,RED00411
1AKJ,RED00411
1P7Q,RED00411
3MRQ,RED00418
6VB5,RED00421
6VB6,RED00421
6UZN,RED00421
4WU7,RED00452
7NMF,RED00455
5IB5,RED00459
7LGD,RED00511
9J4V,RED00511
9J4S,RED00511
8Z07,RED00515
6VIU,RED00519
6W51,RED00531
6ID4,RED00547
5HGB,RED00554
1A9B,RED00586
3UTS,RED00616
8ZV9,RED00628
3VXU,RED00631
4L29,RED00636
8U9G,RED00637
28IL,RED00724
5WXD,RED00747
6P27,RED00783
6P23,RED00783
6P2S,RED00783
6JTP,RED00821
1YDP,RED00824
6ULK,RED00827
6K60,RED00876
3CDG,RED00925
1ZAG,RED00973
1T7X,RED00993
1T7W,RED00993
1T7Y,RED00993
1T7Z,RED00993
6QIP,RED01130
7OKU,RED01142
1L8J,RED01142
7OKT,RED01142
6C97,RED01143
1EXU,RED01143
5BXF,RED01143
9OC6,RED01143
