pdb_id,rule,missing_class,present_classes,present_chains
3VXM,TCR_alpha_beta,TCRb,TCRa,TCRa:D
4JRX,TCR_alpha_beta,TCRb,TCRa,TCRa:D
4LHU,TCR_alpha_beta,TCRb,TCRa,TCRa:D
4LHU,TCR_gamma_delta,TCRd,TCRg,TCRg:F
4MJI,TCR_alpha_beta,TCRa,TCRb,TCRb:E
4MNG,TCR_alpha_beta,TCRb,TCRa,TCRa:C
4MNQ,TCR_alpha_beta,TCRa,TCRb,TCRb:E
4N0U,antibody_heavy_light,AbL,AbH,AbH:D
4WO4,TCR_alpha_beta,TCRa,TCRb,TCRb:D
4WO4,TCR_gamma_delta,TCRg,TCRd,TCRd:C
5E6I,TCR_alpha_beta,TCRa,TCRb,TCRb:C
5XOT,TCR_alpha_beta,TCRa,TCRb,TCRb:E
5XOT,TCR_gamma_delta,TCRg,TCRd,TCRd:D
5XOV,TCR_alpha_beta,TCRa,TCRb,TCRb:E
5XOV,TCR_gamma_delta,TCRg,TCRd,TCRd:D
6BJ2,TCR_alpha_beta,TCRb,TCRa,TCRa:D
6BJ3,TCR_alpha_beta,TCRb,TCRa,TCRa:D
6BJ8,TCR_alpha_beta,TCRb,TCRa,TCRa:D
6D7G,TCR_alpha_beta,TCRb,TCRa,TCRa:B
6D7G,TCR_gamma_delta,TCRd,TCRg,TCRg:C
6FGB,antibody_heavy_light,AbH,AbL,AbL:D
6V80,TCR_alpha_beta,TCRb,TCRa,TCRa:C
6WNA,antibody_heavy_light,AbL,AbH,AbH:C
6WOL,antibody_heavy_light,AbL,AbH,AbH:C
7Q15,antibody_heavy_light,AbL,AbH,AbH:C
7RYM,TCR_alpha_beta,TCRa,TCRb,TCRb:C
7RYO,TCR_alpha_beta,TCRa,TCRb,TCRb:C
8TM0,NKG2_superclass_pair,second_NKG2_superclass_binder,NKG2,NKG2:B
8TM2,NKG2_superclass_pair,second_NKG2_superclass_binder,NKG2,NKG2:B
