redundancy_group,group_size,pdb_id,representative_pdb_id,is_representative,representative_selection_reason,rank,total_peptide_length,mhc_length,binder_lengths,resolution_angstrom,experimental_method
RED00001,1,3D2U,3D2U,yes,singleton,1,190,181,,2.21,X-ray
RED00002,1,1K5N,1K5N,yes,singleton,1,189,180,,1.09,X-ray
RED00003,1,3MRE,3MRE,yes,singleton,1,189,180,,1.1,X-ray
RED00004,1,8ROP,8ROP,yes,singleton,1,188,180,,1.15,X-ray
RED00005,1,7R7W,7R7W,yes,singleton,1,189,180,,1.17,X-ray
RED00006,1,3CZF,3CZF,yes,singleton,1,189,180,,1.2,X-ray
RED00007,1,6Y26,6Y26,yes,singleton,1,189,180,,1.2,X-ray
RED00008,1,6MT3,6MT3,yes,singleton,1,189,180,,1.21,X-ray
RED00009,1,6Y2A,6Y2A,yes,singleton,1,189,180,,1.25,X-ray
RED00010,1,7TUC,7TUC,yes,singleton,1,189,180,,1.25,X-ray
RED00011,1,6V2O,6V2O,yes,singleton,1,190,180,,1.27,X-ray
RED00012,1,6Y29,6Y29,yes,singleton,1,189,180,,1.28,X-ray
RED00013,1,7WJ2,7WJ2,yes,singleton,1,188,180,,1.28,X-ray
RED00014,1,3BWA,3BWA,yes,singleton,1,188,180,,1.3,X-ray
RED00015,2,3D25,3D25,yes,best_resolution,1,189,180,,1.3,X-ray
RED00015,2,3FT3,3D25,no,best_resolution,2,189,180,,1.95,X-ray
RED00016,1,3MRG,3MRG,yes,singleton,1,189,180,,1.3,X-ray
RED00017,1,6V2P,6V2P,yes,singleton,1,190,180,,1.3,X-ray
RED00018,1,7WZZ,7WZZ,yes,singleton,1,189,180,,1.305,X-ray
RED00019,1,6MT6,6MT6,yes,singleton,1,189,180,,1.31,X-ray
RED00020,1,7KGQ,7KGQ,yes,singleton,1,189,180,,1.34,X-ray
RED00021,1,2BVP,2BVP,yes,singleton,1,189,180,,1.35,X-ray
RED00022,1,6JOZ,6JOZ,yes,singleton,1,189,180,,1.35,X-ray
RED00023,1,6MTL,6MTL,yes,singleton,1,189,180,,1.35,X-ray
RED00024,1,6TRN,6TRN,yes,singleton,1,190,180,,1.35,X-ray
RED00025,1,5C0G,5C0G,yes,singleton,1,190,180,,1.37,X-ray
RED00026,1,6Y2B,6Y2B,yes,singleton,1,189,180,,1.37,X-ray
RED00027,1,6PYW,6PYW,yes,singleton,1,189,180,,1.38,X-ray
RED00028,1,6Y27,6Y27,yes,singleton,1,189,180,,1.38,X-ray
RED00029,1,5N1Y,5N1Y,yes,singleton,1,190,180,,1.39,X-ray
RED00030,1,7KGP,7KGP,yes,singleton,1,189,180,,1.396,X-ray
RED00031,1,7X1B,7X1B,yes,singleton,1,188,180,,1.399,X-ray
RED00032,3,1OGA,1OGA,yes,best_resolution,1,630,180,241;200,1.4,X-ray
RED00032,3,2VLJ,1OGA,no,best_resolution,2,628,180,240;199,2.4,X-ray
RED00032,3,2VLK,1OGA,no,best_resolution,3,628,180,240;199,2.5,X-ray
RED00033,1,1I4F,1I4F,yes,singleton,1,190,180,,1.4,X-ray
RED00034,1,2A83,2A83,yes,singleton,1,189,180,,1.4,X-ray
RED00035,1,3MRB,3MRB,yes,singleton,1,189,180,,1.4,X-ray
RED00036,1,3MRK,3MRK,yes,singleton,1,189,180,,1.4,X-ray
RED00037,1,6J2A,6J2A,yes,singleton,1,189,180,,1.4,X-ray
RED00038,1,6TDP,6TDP,yes,singleton,1,182,180,,1.4,X-ray
RED00039,1,8ROO,8ROO,yes,singleton,1,188,180,,1.4,X-ray
RED00040,1,7X1C,7X1C,yes,singleton,1,188,180,,1.409,X-ray
RED00041,1,6VB2,6VB2,yes,singleton,1,189,180,,1.41,X-ray
RED00042,1,4XXC,4XXC,yes,singleton,1,188,180,,1.426,X-ray
RED00043,5,5IB2,5IB2,yes,best_resolution,1,189,180,,1.44,X-ray
RED00043,5,1OGT,5IB2,no,best_resolution,2,189,180,,1.47,X-ray
RED00043,5,5IB1,5IB2,no,best_resolution,3,189,180,,1.91,X-ray
RED00043,5,5IB3,5IB2,no,best_resolution,4,189,180,,1.91,X-ray
RED00043,5,5IB4,5IB2,no,best_resolution,5,189,180,,1.95,X-ray
RED00044,1,6PYJ,6PYJ,yes,singleton,1,189,180,,1.44,X-ray
RED00045,2,1X7Q,1X7Q,yes,best_resolution,1,189,180,,1.45,X-ray
RED00045,2,7WKJ,1X7Q,no,best_resolution,2,189,180,,1.5,X-ray
RED00046,1,6BXP,6BXP,yes,singleton,1,186,180,,1.45,X-ray
RED00047,1,6PYV,6PYV,yes,singleton,1,189,180,,1.45,X-ray
RED00048,1,7M8U,7M8U,yes,singleton,1,189,180,,1.45,X-ray
RED00049,1,7TUD,7TUD,yes,singleton,1,188,180,,1.45,X-ray
RED00050,1,7X00,7X00,yes,singleton,1,189,180,,1.45,X-ray
RED00051,1,8RNG,8RNG,yes,singleton,1,188,180,,1.45,X-ray
RED00052,1,5C0F,5C0F,yes,singleton,1,190,180,,1.463,X-ray
RED00053,1,4U6Y,4U6Y,yes,singleton,1,195,180,,1.467,X-ray
RED00054,1,1XH3,1XH3,yes,singleton,1,194,180,,1.48,X-ray
RED00055,1,9SKO,9SKO,yes,singleton,1,190,180,,1.49,X-ray
RED00056,1,5C0E,5C0E,yes,singleton,1,190,180,,1.491,X-ray
RED00057,1,1ZHL,1ZHL,yes,singleton,1,193,180,,1.5,X-ray
RED00058,1,2FYY,2FYY,yes,singleton,1,187,180,,1.5,X-ray
RED00059,1,2HJL,2HJL,yes,singleton,1,191,180,,1.5,X-ray
RED00060,1,3VFN,3VFN,yes,singleton,1,193,180,,1.5,X-ray
RED00061,1,4JQV,4JQV,yes,singleton,1,188,180,,1.5,X-ray
RED00062,1,5DDH,5DDH,yes,singleton,1,192,180,,1.5,X-ray
RED00063,1,5IEH,5IEH,yes,singleton,1,189,180,,1.5,X-ray
RED00064,1,6O4Z,6O4Z,yes,singleton,1,189,180,,1.5,X-ray
RED00065,1,6Q3K,6Q3K,yes,singleton,1,189,180,,1.5,X-ray
RED00066,1,7M8T,7M8T,yes,singleton,1,189,180,,1.5,X-ray
RED00067,1,7YG3,7YG3,yes,singleton,1,189,180,,1.5,X-ray
RED00068,1,6J1W,6J1W,yes,singleton,1,189,180,,1.501,X-ray
RED00069,1,7JYV,7JYV,yes,singleton,1,189,180,,1.51,X-ray
RED00070,1,6PYL,6PYL,yes,singleton,1,190,180,,1.52,X-ray
RED00071,1,5C0I,5C0I,yes,singleton,1,190,180,,1.53,X-ray
RED00072,1,6PZ5,6PZ5,yes,singleton,1,189,180,,1.53,X-ray
RED00073,1,7S79,7S79,yes,singleton,1,188,180,,1.53,X-ray
RED00074,1,7QPJ,7QPJ,yes,singleton,1,627,180,238;200,1.54,X-ray
RED00075,1,5EU5,5EU5,yes,singleton,1,189,180,,1.54,X-ray
RED00076,1,2GTW,2GTW,yes,singleton,1,189,180,,1.548,X-ray
RED00077,1,1UXS,1UXS,yes,singleton,1,189,180,,1.55,X-ray
RED00078,1,3VFV,3VFV,yes,singleton,1,193,180,,1.55,X-ray
RED00079,2,5NMH,5NMH,yes,best_resolution,1,189,180,,1.55,X-ray
RED00079,2,1T20,5NMH,no,best_resolution,2,189,180,,2.2,X-ray
RED00080,1,6MT4,6MT4,yes,singleton,1,189,180,,1.55,X-ray
RED00081,1,6MT5,6MT5,yes,singleton,1,189,180,,1.55,X-ray
RED00082,1,6O51,6O51,yes,singleton,1,190,180,,1.55,X-ray
RED00083,1,7KGR,7KGR,yes,singleton,1,189,180,,1.55,X-ray
RED00084,1,7S7D,7S7D,yes,singleton,1,189,180,,1.56,X-ray
