[CONFIG] STEP6.1
STEP1_CSV:             /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step1/pdb/pdb_assemblies.csv | exists=True
STEP5_REMAP_CSV:       /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/pdb_assemblies_remapped.csv | exists=True
STEP5_CHAIN_MAP_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/chain_map.csv | exists=True
STEP5_PDB_DIR:         /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step5/pdb/1_mhc_configured | exists=True
ORIGINAL_LIST_CSV:     /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_list.csv | exists=True
ORIGINAL_CONTACTS_CSV: /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_mhc_contacts.csv | exists=True
ORIGINAL_BINDER_CSV:   /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/problematic_binder_contacts.csv | exists=True
MANUAL_LIGANDS_CSV:    /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/manual_problematic_ligands.csv | exists=True
POSSIBLE_LIGANDS_CSV:  /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/summaries/possible_ligands.csv | exists=True
Output dir:            /mnt/c/Users/gio/Documents/foldseek_nefertari/filter/ligands_pipeline/step6_fix/pdb/2_trimmed_mhc

[INIT] problematic_list_current.csv
[INIT] problematic_mhc_contacts_current.csv
[INIT] problematic_binder_contacts_current.csv
[CSV] remapped=      1173
[CSV] duplicate_pdbs= 9
[CSV] problematic=   165
[CSV] mhc_contacts=  164
[CSV] binder_auto=   5
[CSV] manual_rows=   22

[START] STEP6.1
[SAVED] 8RLV: non-problematic trimmed; trimmed_removed=134; output=8rlv_trimmed_mhc.pdb
[SAVED] 3X11: non-problematic trimmed; trimmed_removed=276; output=3x11_trimmed_mhc.pdb
[SAVED] 1QSE: non-problematic trimmed; trimmed_removed=94; output=1qse_trimmed_mhc.pdb
[SAVED] 3BZF: non-problematic trimmed; trimmed_removed=179; output=3bzf_trimmed_mhc.pdb
[SAVED] 7P49: non-problematic trimmed; trimmed_removed=231; output=7p49_trimmed_mhc.pdb
[SAVED] 1BD2: non-problematic trimmed; trimmed_removed=104; output=1bd2_trimmed_mhc.pdb
[SAVED] 7LFZ: non-problematic trimmed; trimmed_removed=328; output=7lfz_trimmed_mhc.pdb
[SAVED] 5JZI: non-problematic trimmed; trimmed_removed=94; output=5jzi_trimmed_mhc.pdb
[SAVED] 7NDT: non-problematic trimmed; trimmed_removed=94; output=7ndt_trimmed_mhc.pdb
[DUPLICATES] 7BH8: removed_chains=['C']
[SAVED] 7BH8: non-problematic trimmed; trimmed_removed=351; output=7bh8_trimmed_mhc.pdb
[SAVED] 3X12: non-problematic trimmed; trimmed_removed=310; output=3x12_trimmed_mhc.pdb
[SAVED] 6J1W: non-problematic trimmed; trimmed_removed=430; output=6j1w_trimmed_mhc.pdb
[SAVED] 7EJL: non-problematic trimmed; trimmed_removed=330; output=7ejl_trimmed_mhc.pdb
[SAVED] 3VXU: non-problematic trimmed; trimmed_removed=94; output=3vxu_trimmed_mhc.pdb
[SAVED] 7TUD: non-problematic trimmed; trimmed_removed=522; output=7tud_trimmed_mhc.pdb
[SAVED] 1P7Q: non-problematic trimmed; trimmed_removed=96; output=1p7q_trimmed_mhc.pdb
[SAVED] 5EO1: non-problematic trimmed; trimmed_removed=434; output=5eo1_trimmed_mhc.pdb
[SAVED] 6P27: non-problematic trimmed; trimmed_removed=277; output=6p27_trimmed_mhc.pdb
[SAVED] 3GSN: non-problematic trimmed; trimmed_removed=99; output=3gsn_trimmed_mhc.pdb
[SAVED] 1T22: non-problematic trimmed; trimmed_removed=345; output=1t22_trimmed_mhc.pdb
[SAVED] 2D31: non-problematic trimmed; trimmed_removed=89; output=2d31_trimmed_mhc.pdb
[SAVED] 1T1Y: non-problematic trimmed; trimmed_removed=401; output=1t1y_trimmed_mhc.pdb
[SAVED] 3FQU: non-problematic trimmed; trimmed_removed=397; output=3fqu_trimmed_mhc.pdb
[SAVED] 7OW6: non-problematic trimmed; trimmed_removed=105; output=7ow6_trimmed_mhc.pdb
[SAVED] 7UM2: non-problematic trimmed; trimmed_removed=303; output=7um2_trimmed_mhc.pdb
[SAVED] 8ZV9: non-problematic trimmed; trimmed_removed=230; output=8zv9_trimmed_mhc.pdb
[SAVED] 5VVP: non-problematic trimmed; trimmed_removed=499; output=5vvp_trimmed_mhc.pdb
[SAVED] 6ZKW: non-problematic trimmed; trimmed_removed=123; output=6zkw_trimmed_mhc.pdb
[SAVED] 7LG0: non-problematic trimmed; trimmed_removed=205; output=7lg0_trimmed_mhc.pdb
[SAVED] 1HHK: non-problematic trimmed; trimmed_removed=95; output=1hhk_trimmed_mhc.pdb
[SAVED] 5XOV: non-problematic trimmed; trimmed_removed=141; output=5xov_trimmed_mhc.pdb
