pdb_id,chain,tstart,tend
8RLV,A,1,179
3X11,A,1,180
1QSE,A,1,180
3BZF,A,1,179
7P49,A,1,179
1BD2,A,1,180
7LFZ,A,1,180
5JZI,A,1,180
7NDT,A,1,177
7BH8,A,1,179
3X12,A,1,179
6J1W,A,1,180
7EJL,A,1,180
3VXU,A,1,180
7TUD,A,1,180
1P7Q,A,1,180
5EO1,A,1,179
6P27,A,1,179
3GSN,A,1,180
1T22,A,1,180
2D31,A,1,180
1T1Y,A,1,180
3FQU,A,1,180
7OW6,A,1,180
7UM2,A,1,180
8ZV9,A,5,183
5VVP,A,1,180
6ZKW,A,1,178
7LG0,A,1,180
1HHK,A,1,180
5XOV,A,1,180
1T1Z,A,1,180
7ZUC,A,1,180
7SIS,A,1,180
5TXS,A,1,180
5VWD,A,1,180
6Z9W,A,1,180
5WWU,A,1,180
8YE4,A,1,180
7NME,A,1,180
3VXS,A,1,180
5VWF,A,1,180
6P23,A,1,179
4F7P,A,1,180
5HHQ,A,1,180
7BBG,A,1,180
7RTD,A,1,180
2ESV,A,1,179
4NO0,A,1,180
5HGB,A,1,180
7NMD,A,1,180
1A9E,A,1,180
7N6E,A,1,180
7U1R,A,1,180
7P4B,A,1,179
7JYX,A,1,180
1Q94,A,1,180
2F54,A,1,180
4QOK,A,1,180
5XOT,A,1,180
1T21,A,1,180
3RL2,A,1,180
7TR4,A,1,180
6MTM,A,1,178
7MJA,A,1,180
3GSW,A,1,180
1AKJ,A,1,180
1QSF,A,1,180
5W6A,A,1,179
3FQT,A,1,180
4F7M,A,1,180
1HHH,A,1,180
1T1X,A,1,180
8QFY,A,1,179
7NDQ,A,1,179
6W51,A,1,180
8EN8,A,1,180
6J2A,A,1,180
7S8S,A,1,180
5WJL,A,1,180
7S7E,A,1,179
6UZ1,A,1,180
7WJ2,A,1,180
3D3V,A,1,180
7F4W,A,6,185
3I6L,A,1,180
1XR9,A,1,180
2XPG,A,1,180
3PWP,A,1,180
6J1V,A,1,180
3KXF,A,1,180
1I4F,A,1,180
8RYO,A,1,180
6MT3,A,1,180
3V5K,A,1,180
6UK2,A,1,180
7KGO,A,1,180
7RTR,A,1,180
3WLB,A,1,180
8RBV,A,2,181
6UJ7,A,1,179
6GHN,A,1,179
1T1W,A,1,180
7JYU,A,1,180
8XKC,A,1,180
6VM8,A,1,180
6ZKZ,A,1,178
4QRR,A,1,180
3VXP,A,1,180
5WSH,A,1,180
5WWJ,A,1,180
5VZ5,A,1,180
7NUI,A,1,180
5HHN,A,1,180
1S8D,A,1,180
7RK7,A,1,180
4JFP,A,1,180
6ZKY,A,1,178
8I5D,A,1,180
1DUY,A,1,180
3UTT,A,1,180
7PBE,A,1,180
3H9S,A,1,180
4O2F,A,1,180
1A9B,A,1,180
6ZKX,A,1,177
1YDP,A,1,179
7EJM,A,1,180
3V5D,A,1,180
3QFJ,A,1,180
2NX5,A,1,180
6ULI,A,1,179
7LG2,A,1,180
1CG9,A,1,180
6GGM,A,1,179
5ENW,A,1,180
7S8Q,A,1,180
3WL9,A,1,180
1S9Y,A,1,180
2CLR,A,1,180
5IUE,A,1,179
3MGT,A,1,180
5F9J,A,1,180
3OX8,A,1,180
1E27,A,1,180
3FT2,A,1,180
3FQW,A,1,180
1T20,A,1,180
3C9N,A,1,180
4WU5,A,1,180
2BVP,A,1,180
4NQV,A,1,180
7KGS,A,1,180
6AEE,A,1,179
6JP3,A,1,180
5HGA,A,1,180
1HHG,A,1,180
4JFF,A,1,180
7N2R,A,1,180
8ELG,A,1,180
5NMK,A,1,180
1MHE,A,1,178
6GH4,A,1,179
8RYM,A,1,180
5D9S,A,1,180
7LG3,A,1,180
6MPP,A,1,179
3VXN,A,1,180
8RLT,A,1,179
8ENH,A,1,179
7N1B,A,1,180
8RH6,A,1,180
7SA2,A,1,180
5IM7,A,1,180
8RNG,A,1,180
6D2B,A,1,180
7S8F,A,1,180
7KGP,A,1,180
1EEY,A,1,180
2X4N,A,1,180
7N1E,A,1,180
5W1V,A,1,178
8ROP,A,1,180
8RHQ,A,1,177
7S79,A,1,180
6P2S,A,1,179
4F7T,A,1,180
5JHD,A,1,180
7WT4,A,2,181
1QVO,A,1,180
1QEW,A,1,180
4O2C,A,1,180
2F53,A,1,180
7S7F,A,1,179
7KGQ,A,1,180
3O3B,A,1,180
1S9X,A,1,180
2UWE,A,1,180
5HGD,A,1,180
6VB1,A,1,180
1LP9,A,1,180
8RYQ,A,1,180
6TDQ,A,1,180
7RZD,A,1,180
3REW,A,1,180
5ISZ,A,1,180
7WKJ,A,1,180
6AVF,A,1,180
5WJN,A,1,180
8RYP,A,1,180
8XFZ,A,1,180
6GL1,A,1,179
6UZQ,A,1,180
1QRN,A,1,180
6MT4,A,1,180
5EU3,A,1,180
5FDW,A,1,180
8E13,A,1,179
6TDR,A,1,180
6UZS,A,1,180
3FQX,A,1,180
6VM9,A,1,180
3FT4,A,1,180
6AM5,A,1,180
8RYN,A,1,180
8ROO,A,1,180
6PAG,A,1,179
4NO5,A,1,180
5HYJ,A,1,180
5W69,A,1,179
6ID4,A,1,180
7MKB,A,1,180
8EB2,A,1,180
7NMF,A,1,180
8DVG,A,1,180
8GON,A,1,180
7OW4,A,1,180
7P3D,A,1,180
7P3E,A,1,180
6JOZ,A,1,180
1HSB,A,1,180
3MGO,A,1,180
8RLU,A,1,179
6GH1,A,1,179
5V5L,A,1,180
4N8V,A,1,180
3H9H,A,1,180
6AMT,A,1,180
1I7T,A,1,180
1HHI,A,1,180
7S8E,A,1,180
4JFE,A,1,180
